Sample	Type	Source	Nacid	xKit	Rep	Polymerase	Run	Primer	Station	Environment	Estuary	Tide	Date	Season	Year	microgAMBI	AMBI	AMBI.5y	MAMBI	MAMBI.5y	Redox	OM	Gravel	Sand	Mud	Cu	Pb	Ni	Cr	Zn	Mn	Fe	Hg	Cd	PON	TotalP	TOC	POC	TotalPCB	TotalPAH	TotalDDT	TotalHCH	PI	PI5yAvg	PI10yAvg	Redox5yAvg	Redox10yAvg	OM5yAvg	OM10yAvg	WaterO2	DO	pH	MaxDepthPM	PointDepthBM	Salinity	SalClass	Q1SiteSal	Q2SiteSal	Q3SiteSal	SolidosSusp	ChlA	Silicate	Nitrite	NH3	Turbidity	Nitrate	PO4	PlotName	IntRatio6y	PhytoStatus	Comp
EB05_S_Wi2016	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EB05	Estuarine	03 Butron	BM	2016-01-28	Wi	2016	2.1202471483	3.196	3.2	0.841	0.865	55	4.7	0	34.3	65.7	30	33	24	46	136	305	27125	0.17	0.24	NA	NA	NA	NA	11.2	0	0	0	1.2459476395	1.3654587036	NA	104.6	58.1	4.04	4.27	89	NA	NA	3	0	24.3	2	10.98	11.1	20.63	NA	NA	NA	NA	NA	NA	NA	NA	EB05_S_Wi2016	NA	NA	1
EB05_S_Wi2017	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EB05	Estuarine	03 Butron	BM	2017-02-02	Wi	2017	2.0947864399	3.132	3.206	0.722	0.844	76	4.87	0.02	27.32	72.66	25	38	20	38	136	318	20092	0.17	0.23	NA	NA	NA	NA	24.1	0	0	0	1.2942026772	1.3379747059	NA	88.4	70.3	4.21	4.24	87	NA	NA	3.5	0	20.6	2	10.98	11.1	20.63	NA	NA	NA	NA	NA	NA	NA	NA	EB05_S_Wi2017	NA	NA	D
EB05_S_Wi2017RNA	S	S	RNA	DNA-RNA	1	HF	201904	519..806D	EB05	Estuarine	03 Butron	BM	2017-02-02	Wi	2017	2.1565378847	3.132	3.206	0.722	0.844	76	4.87	0.02	27.32	72.66	25	38	20	38	136	318	20092	0.17	0.23	NA	NA	NA	NA	24.1	0	0	0	1.2942026772	1.3379747059	NA	88.4	70.3	4.21	4.24	87	NA	NA	3.5	0	20.6	2	10.98	11.1	20.63	NA	NA	NA	NA	NA	NA	NA	NA	EB05_S_Wi2017	NA	NA	R
EB05_S_Wi2018	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EB05	Estuarine	03 Butron	BM	2018-01-23	Wi	2018	2.3348615441	3.208	3.204	0.92	0.851	71	2.7	0	29.1	70.9	31	34	25	45	132	219	45984	0.41	0.26	NA	NA	NA	NA	10.9	0	0	0	1.2603459912	1.3275723844	NA	67.6	79.3	4.03	3.85	102.4	NA	NA	5	0	0.3	2	10.98	11.1	20.63	NA	NA	NA	NA	NA	NA	NA	NA	EB05_S_Wi2018	NA	NA	D
EB05_S_Wi2018RNA	S	S	RNA	DNA-RNA	1	HF	201909	519..806D	EB05	Estuarine	03 Butron	BM	2018-01-23	Wi	2018	2.5097393044	3.208	3.204	0.92	0.851	71	2.7	0	29.1	70.9	31	34	25	45	132	219	45984	0.41	0.26	NA	NA	NA	NA	10.9	0	0	0	1.2603459912	1.3275723844	NA	67.6	79.3	4.03	3.85	102.4	NA	NA	5	0	0.3	2	10.98	11.1	20.63	NA	NA	NA	NA	NA	NA	NA	NA	EB05_S_Wi2018RNA	NA	NA	R
EB05_S_Wi2019	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EB05	Estuarine	03 Butron	BM	2019-02-11	Wi	2019	2.3718149693	2.999	3.179	NA	0.846	47	5.15	0	22.1	77.9	22	31	18	39	91	223	21687	0.11	0.16	NA	NA	NA	NA	23.8	0	0	0	1.184856657	1.2183440466	NA	63.8	76.46	4.324	4.009	93.2	NA	NA	4.5	0	11	2	10.98	11.1	20.63	NA	NA	NA	NA	NA	NA	NA	NA	EB05_S_Wi2019	NA	NA	1
EB07_S_Wi2013	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EB07	Estuarine	03 Butron	BM	2013-02-04	Wi	2013	1.6672798049	2.893	2.754	0.632	0.646	593	0.42	0.05	99.72	0.23	10	7.5	20.2	25	51.9	376.9	22439	0.067	0.036	0.034	0.03565	NA	1	0	12	0	0	0.4771149397	0.7429291184	NA	252.4	132.4	1.17	2.19	98.1	NA	NA	3.5	0	17.1	3	18.88	20.85	22.23	NA	NA	NA	NA	NA	NA	NA	NA	EB07_S_Wi2013	NA	NA	1
EB07_S_Wi2015	S	S	DNA	DNA-RNA	1	HF	201909	519..806D	EB07	Estuarine	03 Butron	BM	2015-02-10	Wi	2015	1.1780727461	2.899	2.5966	0.519	0.64	380	0.6	0.73	98.99	0.28	7.9	0	11.7	10.1	45.9	237	22058	0.02	0.087	NA	NA	NA	NA	0	0	0	0	0.3038783524	0.6138087358	NA	373.88	204.09	0.586	1.644	90	NA	NA	3	0	20.7	3	18.88	20.85	22.23	NA	NA	NA	NA	NA	NA	NA	NA	EB07_S_Wi2015	NA	NA	1
EB07_S_Wi2016	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EB07	Estuarine	03 Butron	BM	2016-01-28	Wi	2016	2.4143096168	3.273	2.678	0.742	0.649	144	4.9	0.36	83.43	16.21	18	23	16	32	93	300	21669	0.15	0.16	NA	NA	NA	NA	0	0	0	0	0.9134644721	0.6835584327	NA	360.8	213.7	1.48	1.6	96.6	NA	NA	2.5	0	29.1	3	18.88	20.85	22.23	NA	NA	NA	NA	NA	NA	NA	NA	EB07_S_Wi2016	NA	NA	1
EB07_S_Wi2017	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EB07	Estuarine	03 Butron	BM	2017-02-02	Wi	2017	1.8838018313	3.331	3.014	0.603	0.641	166	1.85	0.38	82.93	16.69	17	25	16	29	97	397	17187	0.08	0.14	NA	NA	NA	NA	0	0	0	0	0.7348694553	0.6726384695	NA	342.8	235.6	1.71	1.63	87.9	NA	NA	3	0	22.2	3	18.88	20.85	22.23	NA	NA	NA	NA	NA	NA	NA	NA	EB07_S_Wi2017	NA	NA	D
EB07_S_Wi2017RNA	S	S	RNA	DNA-RNA	1	HF	201904	519..806D	EB07	Estuarine	03 Butron	BM	2017-02-02	Wi	2017	1.8478446073	3.331	3.014	0.603	0.641	166	1.85	0.38	82.93	16.69	17	25	16	29	97	397	17187	0.08	0.14	NA	NA	NA	NA	0	0	0	0	0.7348694553	0.6726384695	NA	342.8	235.6	1.71	1.63	87.9	NA	NA	3	0	22.2	3	18.88	20.85	22.23	NA	NA	NA	NA	NA	NA	NA	NA	EB07_S_Wi2017	NA	NA	R
EB07_S_Wi2018	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EB07	Estuarine	03 Butron	BM	2018-01-23	Wi	2018	1.9383457117	3.008	3.037	0.452	0.612	342	1.5	0.24	73.91	25.86	25	29	23	41	108	508	37248	0.26	0.15	NA	NA	NA	NA	1	0	0	0	0.9433865472	0.765892791	NA	292.6	272.5	1.93	1.55	95	NA	NA	4	0	11.9	3	18.88	20.85	22.23	NA	NA	NA	NA	NA	NA	NA	NA	EB07_S_Wi2018	NA	NA	1
EB07_S_Wi2019	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EB07	Estuarine	03 Butron	BM	2019-02-11	Wi	2019	1.8853211009	2.991	3.128	NA	0.579	218	2.31	0	40.63	59.37	22	32	18	32	94	235	20187	0.11	0.12	NA	NA	NA	NA	9	0	0	0	0.912357759	0.7615913172	NA	250	281.85	2.232	1.483	96.6	NA	NA	3	0	20.9	3	18.88	20.85	22.23	NA	NA	NA	NA	NA	NA	NA	NA	EB07_S_Wi2019	NA	NA	1
EB10_S_Wi2013	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EB10	Estuarine	03 Butron	BM	2013-02-04	Wi	2013	1.058330047	2.335	3.021	0.781	0.661	608	0.7	5.04	93.62	1.34	13.3	12.6	22.7	22	65.3	476.3	21944	0.123	0.051	0.039	0.04495	NA	1.9	0	615	0	0	0.6464881763	0.9589385733	NA	260.3	175.9	1.67	1.78	96.5	NA	NA	4	0	20.5	3	20.5	30.35	31.03	NA	NA	NA	NA	NA	NA	NA	NA	EB10_S_Wi2013	NA	NA	1
EB10_S_Wi2015	S	S	DNA	DNA-RNA	1	HF	201909	519..806D	EB10	Estuarine	03 Butron	BM	2015-02-10	Wi	2015	1.3124183007	0.718	2.432	0.744	0.707	411	0.9	13.79	84.56	1.65	23.8	54.8	29.2	17	100.2	704	74973	0.515	0.402	NA	NA	NA	NA	0	0	0	0	0.9863608566	0.9315547888	NA	329.28	230.43	1.526	1.708	88.5	NA	NA	4	0	22.7	3	20.5	30.35	31.03	NA	NA	NA	NA	NA	NA	NA	NA	EB10_S_Wi2015	NA	NA	Poly
EB10_S_Wi2016	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EB10	Estuarine	03 Butron	BM	2016-01-28	Wi	2016	1.7437945792	3.162	2.281	0.734	0.719	133	3.6	3.32	87.65	9.02	23	30	18	36	108	352	23616	0.13	0.16	NA	NA	NA	NA	3.8	0	0	0	0.980394465	0.9166924184	NA	347.4	245.8	1.86	1.71	97.6	NA	NA	3	0	30.4	3	20.5	30.35	31.03	NA	NA	NA	NA	NA	NA	NA	NA	EB10_S_Wi2016	NA	NA	1
EB10_S_Wi2017	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EB10	Estuarine	03 Butron	BM	2017-02-02	Wi	2017	2.5235760091	4.164	2.396	0.595	0.714	110	7.27	0	24.06	75.94	23	31	19	35	125	413	24372	0.09	0.22	NA	NA	NA	NA	15.1	0	0	0	1.1907062121	0.8675897973	NA	349.4	264.7	2.62	2.15	97.4	NA	NA	2.5	0	31	3	20.5	30.35	31.03	NA	NA	NA	NA	NA	NA	NA	NA	EB10_S_Wi2017	NA	NA	D
EB10_S_Wi2017RNA	S	S	RNA	DNA-RNA	1	HF	201904	519..806D	EB10	Estuarine	03 Butron	BM	2017-02-02	Wi	2017	2.7611533974	4.164	2.396	0.595	0.714	110	7.27	0	24.06	75.94	23	31	19	35	125	413	24372	0.09	0.22	NA	NA	NA	NA	15.1	0	0	0	1.1907062121	0.8675897973	NA	349.4	264.7	2.62	2.15	97.4	NA	NA	2.5	0	31	3	20.5	30.35	31.03	NA	NA	NA	NA	NA	NA	NA	NA	EB10_S_Wi2017	NA	NA	R
EB10_S_Wi2018	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EB10	Estuarine	03 Butron	BM	2018-01-23	Wi	2018	3.041433504	3.95	2.7188	0.609	0.684	46	5.8	0.26	46.14	53.6	17	23	18	34	94	396	24109	0.11	0.11	NA	NA	NA	NA	7.8	0	0	0	0.9990993304	0.9381120281	NA	237	248.6	3.64	2.65	104.9	NA	NA	4.5	0	15.2	3	20.5	30.35	31.03	NA	NA	NA	NA	NA	NA	NA	NA	EB10_S_Wi2018	NA	NA	1
EB10_S_Wi2019	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EB10	Estuarine	03 Butron	BM	2019-02-11	Wi	2019	1.8402675363	NA	2.999	NA	0.67	131	2.8	3.01	78.5	18.49	17	26	16	30	80	275	17572	0.12	0.13	NA	NA	NA	NA	1	0	0	0	0.8051315654	0.9923384859	NA	166.2	218.55	4.074	2.764	98.7	NA	NA	5	0	24.7	3	20.5	30.35	31.03	NA	NA	NA	NA	NA	NA	NA	NA	EB10_S_Wi2019	NA	NA	1
EBI05_S_Wi2013	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EBI05	Estuarine	12 Bidasoa	BM	2013-01-29	Wi	2013	1.3750184339	4.146	4.236	0.822	0.69	555	1.03	0.06	94.93	5	29.8	42.7	35.3	34.1	114	881.8	39743	0.09	0.063	0.085	0.0155	NA	1.3	0	0	0	0	0.8873294008	1.1672860024	NA	197.5	173.7	2.45	4.33	105	NA	NA	4	0	0.1	1.5	0.09	9.15	10.73	NA	NA	NA	NA	NA	NA	NA	NA	EBI05_S_Wi2013	NA	NA	1
EBI05_S_Wi2015	S	S	DNA	DNA-RNA	1	HF	201909	519..806D	EBI05	Estuarine	12 Bidasoa	BM	2015-02-05	Wi	2015	2.5721768837	3.108	3.919	0.72	0.73	446	1.6	0.06	95.08	4.86	26.8	24.2	31	26.1	104.6	685	43747	0.048	0.217	NA	NA	NA	NA	0	0	0	0	0.8336643799	1.0805447882	NA	248.28	195.85	2.556	4.074	92	NA	NA	4	0	10.5	1.5	0.09	9.15	10.73	NA	NA	NA	NA	NA	NA	NA	NA	EBI05_S_Wi2015	NA	NA	1
EBI05_S_Wi2016	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EBI05	Estuarine	12 Bidasoa	BM	2016-01-26	Wi	2016	3.2372506784	3.365	3.806	0.771	0.739	346	3.5	1.11	84.02	14.87	42	50	34	54	167	1349	41738	0.13	0.24	NA	NA	NA	NA	4	0	0	0	1.3059335015	1.043129761	NA	285.7	232.2	1.73	2.93	87.2	NA	NA	5	0	9.1	1.5	0.09	9.15	10.73	NA	NA	NA	NA	NA	NA	NA	NA	EBI05_S_Wi2016	NA	NA	1
EBI05_S_Wi2017	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EBI05	Estuarine	12 Bidasoa	BM	2017-02-01	Wi	2017	2.5613423959	3.05	3.468	0.563	0.72	476	0.84	0.04	96.74	3.22	27	37	25	36	99	988	39838	0.36	0.14	NA	NA	NA	NA	0	0	0	0	0.9137317787	1.0304798626	NA	402.2	237.8	1.79	2.76	89.8	NA	NA	5	0	11	1.5	0.09	9.15	10.73	NA	NA	NA	NA	NA	NA	NA	NA	EBI05_S_Wi2017	NA	NA	1
EBI05_S_Wi2018	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EBI05	Estuarine	12 Bidasoa	BM	2018-02-05	Wi	2018	2.8486716571	4.445	3.527	0.645	0.689	132	6.5	1.04	70.33	28.63	24	32	24	35	120	768	33655	0.08	0.1	NA	NA	NA	NA	0	0	0	0	1.0622332363	1.0654606297	NA	317.6	257.5	2.89	2.67	108.5	NA	NA	5	0	0.1	1.5	0.09	9.15	10.73	NA	NA	NA	NA	NA	NA	NA	NA	EBI05_S_Wi2018	NA	NA	D
EBI05_S_Wi2018RNA	S	S	RNA	DNA-RNA	1	HF	201909	519..806D	EBI05	Estuarine	12 Bidasoa	BM	2018-02-05	Wi	2018	2.7949155758	4.445	3.527	0.645	0.689	132	6.5	1.04	70.33	28.63	24	32	24	35	120	768	33655	0.08	0.1	NA	NA	NA	NA	0	0	0	0	1.0622332363	1.0654606297	NA	317.6	257.5	2.89	2.67	108.5	NA	NA	5	0	0.1	1.5	0.09	9.15	10.73	NA	NA	NA	NA	NA	NA	NA	NA	EBI05_S_Wi2018RNA	NA	NA	R
EBI05_S_Wi2019	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EBI05	Estuarine	12 Bidasoa	BM	2019-01-23	Wi	2019	2.1981580366	3.078	3.492	NA	0.674	222	4.19	0	54.32	45.68	36	55	28	54	134	915	34369	0.09	0.17	NA	NA	NA	NA	0	0	0	0	1.2124781871	1.0656082167	NA	324.4	230.28	3.326	2.949	98.6	NA	NA	5	0	11.3	1.5	0.09	9.15	10.73	NA	NA	NA	NA	NA	NA	NA	NA	EBI05_S_Wi2019	NA	NA	1
EBI10_S_Wi2013	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EBI10	Estuarine	12 Bidasoa	BM	2013-01-29	Wi	2013	2.7013550412	3.993	4.323	0.956	0.755	229	0.53	3.67	95.83	0.49	253.5	1684	44.9	63.7	2244	863.1	37453	0.627	2.8	0.082	0.0155	NA	1.8	0	389	0	0	2.6334930764	2.4446537931	NA	54.4	28.9	1.64	2.59	96	NA	NA	3.5	0	11.6	2	10.32	14.22	16.87	NA	NA	NA	NA	NA	NA	NA	NA	EBI10_S_Wi2013	NA	NA	1
EBI10_S_Wi2016	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EBI10	Estuarine	12 Bidasoa	BM	2016-01-26	Wi	2016	2.2337795157	4.223	4.121	0.886	0.8	86	0.7	2.41	97.08	0.51	162	717	28	55	1465	863.1	27417	0.7	2.4	NA	NA	NA	NA	0	0	0	0	2.3792013238	2.5078755457	NA	131	87.3	1.78	1.75	84.3	NA	NA	3.5	0	17	2	10.32	14.22	16.87	NA	NA	NA	NA	NA	NA	NA	NA	EBI10_S_Wi2016	NA	NA	1
EBI10_S_Wi2017	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EBI10	Estuarine	12 Bidasoa	BM	2017-02-01	Wi	2017	2.1983187308	3.318	3.81	0.784	0.84	246	1.09	1.55	98.03	0.42	147	1000	42	68	1409	738	29889	0.38	2.1	NA	NA	NA	NA	4.4	0	0	0	2.4252384812	2.4435666004	NA	210.4	100.5	1.44	1.74	82.5	NA	NA	3.5	0	16.8	2	10.32	14.22	16.87	NA	NA	NA	NA	NA	NA	NA	NA	EBI10_S_Wi2017	NA	NA	D
EBI10_S_Wi2017RNA	S	S	RNA	DNA-RNA	1	HF	201909	519..806D	EBI10	Estuarine	12 Bidasoa	BM	2017-02-01	Wi	2017	3.8554593555	3.318	3.81	0.784	0.84	246	1.09	1.55	98.03	0.42	147	1000	42	68	1409	738	29889	0.38	2.1	NA	NA	NA	NA	4.4	0	0	0	2.4252384812	2.4435666004	NA	210.4	100.5	1.44	1.74	82.5	NA	NA	3.5	0	16.8	2	10.32	14.22	16.87	NA	NA	NA	NA	NA	NA	NA	NA	EBI10_S_Wi2017RNA	NA	NA	R
