"","AMBI","microgAMBI","PI","PI5yAvg","PI10yAvg","Redox","Redox5yAvg","Redox10yAvg","OM","OM5yAvg","OM10yAvg"
"Cerastoderma.edule",0,0,0,0,0,0,0,0,0,0,0
"Cerastoderma.glaucum",0,0,0,0,0,0,0,0,0,0,0
"Cerastoderma.sp.",0,0,0,0,0,0,0,0,0,0,0
"Cerebratulus.marginatus",0,0,0,0,0,0,0,0,0,0,0
"Cerebratulus.sp.",0,0,0,0,0,0,0,0,0,0,0
"Cerianthus.sp.",0,0,20.69,27.3,27.06,0,21.99,29.5,0,0,0
"Chaetozone.gibber",0,0,47.7,53.6,54.01,46.64,43.31,49.78,48.25,82.77,99.44
"Chaetozone.setosa",0,0,0,0,0,0,0,0,0,0,0
"Chamelea.striatula",0,0,0,0,0,0,0,0,0,0,0
"Cirripedia",0,0,0,0,0,0,0,0,0,0,0
"Cirrophorus.furcatus",0,0,0,0,0,0,0,0,0,0,0
"Cirrophorus.nikebianchii",0,0,0,0,0,0,0,0,0,0,0
"Collembola",0,0,0,0,0,0,0,0,0,0,0
"Copepoda",0,0,0,0,0,0,0,0,0,0,0
"Corbula.gibba",0,0,64.01,76.98,81.56,72.97,42.02,64.48,74.76,80.19,96.26
"Corophium.multisetosum",0,0,16.94,23.27,18.35,0,16.99,0,0,23.07,18.76
"Corophium.sp.",0,0,0,0,0,0,0,0,0,0,0
"Corophium.urdaibaiense",0,0,0,0,0,0,0,0,0,0,0
"Corophium.volutator",0,0,0,0,0,0,0,0,0,0,0
"Cossura.pygodactylata",0,0,0,0,0,0,0,0,0,0,0
"Cossura.sp.",0,0,26.67,44.44,40,19.63,25.91,38.85,26.82,47.49,57.48
"Crassostrea.gigas",0,0,0,0,0,0,0,0,0,0,0
"Cumopsis.fagei",0,0,0,0,0,0,0,0,0,0,0
"Cyathura.carinata",0,71.33,0,0,0,60.73,60.99,0,0,0,0
"Cylichna.cylindracea",0,0,19.54,16.67,24.14,0,19.32,21.21,0,0,0
"Decapoda",0,0,0,0,0,0,0,0,0,0,0
"Desdemona.ornata",0,0,0,17.58,17.58,0,20.16,17.58,0,0,0
"Diastylis.bradyi",0,0,0,0,0,0,0,0,0,0,0
"Diastylis.laevis",0,0,0,0,0,0,0,0,0,0,0
"Diogenes.pugilator",0,0,0,0,0,0,0,0,0,0,0
"Diopatra.micrura",0,0,0,0,0,0,0,0,0,0,0
"Diopatra.neapolitana",0,0,0,0,0,0,0,0,0,0,0
"Diopatra.sp.",0,0,0,0,0,0,0,0,0,0,0
"Diplocirrus.glaucus",0,0,0,0,0,0,0,0,0,0,0
"Diptera",49.53,47.97,46.57,51.74,56.29,0,0,0,0,0,0
"Dispio.uncinata",0,0,0,0,0,0,0,0,0,0,0
"Donax.variegatus",0,0,0,0,0,0,0,0,0,0,0
"Dosinia.lupinus",0,0,0,0,19.23,16.76,0,18.52,0,0,0
"Ebalia.sp.",0,0,0,0,0,0,0,0,0,0,0
"Echinocardium.cordatum",0,0,0,0,0,0,0,0,0,0,0
"Echiura",0,0,0,0,0,0,0,0,0,0,0
"Edwardsia.sp.",0,0,0,0,0,0,0,0,0,0,0
"Edwardsiidae",0,0,0,0,0,0,0,0,0,0,0
"Elminius.modestus",0,0,0,0,0,0,0,0,0,0,0
"En.el.muestreo.no.se.identifica.ning..n.taxon",0,0,0,0,0,0,0,0,0,0,0
"Euclymene.collaris",0,0,0,0,0,0,0,0,0,0,0
"Euclymene.oerstedi",0,0,0,0,0,0,0,0,0,0,0
"Euclymene.oerstedii",0,0,21.72,22.43,22.43,16.67,15,15.6,0,0,0
"Euclymene.sp.",0,0,0,0,0,0,0,0,0,0,0
"Euglesa.casertana",0,0,0,0,0,0,0,0,0,0,0
"Eulimella.sp.",0,0,0,0,0,0,0,0,0,0,0
"Eumida.bahusiensis",0,0,0,0,0,0,0,0,0,0,0
"Eumida.sanguinea",0,0,0,0,0,0,0,0,0,0,0
"Eumida.sp.",0,0,0,0,0,0,0,0,0,0,0
"Eurydice.affinis",25.66,19.95,0,23.38,55.99,22.32,19.35,20,31.58,41.58,35.62
"Eurydice.naylori",0,0,0,0,0,0,0,0,0,0,0
"Eurydice.pulchra",0,0,0,0,0,0,0,0,0,0,0
"Eurydice.sp.",0,0,0,0,0,0,0,0,0,0,0
"Euspira.nitida",0,0,14.29,16.67,24.14,0,18.25,25,0,0,0
"Exogone.dispar",0,0,0,0,0,0,0,0,0,0,0
"Fabulina.fabula",0,0,0,0,0,0,0,0,0,0,0
"Ficopomatus.enigmaticus",0,0,0,0,0,0,0,0,0,0,0
"Galathowenia.oculata",0,0,0,0,0,0,0,0,0,0,0
"Gallardoneris.iberica",0,0,0,0,0,0,0,0,0,0,0
"Gammarus.chevreuxi",0,0,0,0,0,0,0,0,0,0,0
"Gammarus.sp.",0,0,0,0,0,0,0,0,0,0,0
"Gari.costulata",0,0,0,0,0,0,0,0,0,0,0
"Gari.sp.",0,0,0,0,0,0,0,0,0,0,0
"Gastropoda",0,0,0,0,0,0,0,0,0,0,0
"Gastrosaccus.sanctus",0,0,0,0,0,0,0,0,0,0,0
"Glycera.convoluta",0,0,0,0,0,0,0,0,0,0,0
"Glycera.fallax",0,0,0,0,0,0,0,0,0,0,0
"Glycera.sp.",0,0,0,0,0,0,0,0,0,0,0
"Glycera.tridactyla",0,0,0,0,0,0,0,0,0,0,0
"Glycera.unicornis",0,0,55.42,75.63,72.24,52.1,36.6,47.2,23.22,60.36,73.64
"Golfingia.sp.",0,0,0,0,0,0,0,0,0,0,0
"Goniada.maculata",0,0,0,0,0,0,0,0,0,0,0
"Goniadella.gracilis",0,0,0,0,0,0,0,0,0,0,0
"Goodallia.triangularis",0,0,0,0,0,0,0,0,0,0,0
"Gouldia.minima",0,0,0,0,0,0,0,0,0,0,0
"Grandidierella.japonica",0,0,34.93,43.78,43.78,52.61,19.53,20.75,0,19.42,0
"HALACARIDAE",0,0,0,0,0,0,0,0,0,0,0
"Harpinia.pectinata",0,0,0,0,0,0,0,0,0,0,0
"Haustorius.arenarius",0,0,0,0,0,0,0,0,0,0,0
"Hediste.diversicolor",79.58,75.18,0,0,0,62.82,71.23,73.32,0,0,0
"Hemigrapsus.takanoi",0,0,0,0,0,0,0,0,0,0,0
"Hesionidae",0,0,0,0,0,0,0,0,0,0,0
"Heteromastus.filiformis",0,0,0,0,0,28.25,29.46,31.56,41.23,0,0
"Heterotanais.oerstedi",0,0,0,0,0,0,0,0,0,0,0
"Hippomedon.denticulatus",0,0,0,0,0,0,0,0,0,0,0
"Hyala.vitrea",0,0,20.83,20,21.74,0,0,0,0,0,0
"Idotea.chelipes",0,0,0,0,0,0,0,0,0,0,0
"Insecta",0,0,0,0,0,0,0,0,0,0,0
"Iphinoe.tenella",0,0,22.53,19.05,29.63,38.45,16,24.24,0,0,0
"Kirkegaardia.sp.",0,0,0,0,0,0,0,0,0,0,0
"Kurtiella.bidentata",0,0,48.47,51.44,65.2,0,25.03,28.96,19.51,0,0
"Lagis.koreni",0,0,16.67,0,33.07,0,0,0,0,0,0
"Laonice.cirrata",0,0,16.67,17.66,32.85,0,0,0,0,0,0
"Lekanesphaera.hookeri",0,0,0,0,0,0,0,0,0,0,0
"Lekanesphaera.rugicauda",0,0,0,0,0,0,0,0,0,0,0
"Lekanesphaera.sp.",0,0,0,0,0,0,0,0,0,0,0
"Lepidochitona.cinerea",0,0,0,0,0,0,0,0,0,0,0
"Leptocheirus.pilosus",0,0,0,0,0,0,0,0,0,0,0
"Leptognathiidae",0,0,0,0,0,0,0,0,0,0,0
"Leptopentacta.elongata",0,0,0,0,0,0,0,0,0,0,0
"Leptosynapta.galliennii",0,0,0,0,0,0,0,0,0,0,0
"Leptosynapta.inhaerens",0,0,0,0,0,0,0,0,0,0,0
"Levinsenia.gracilis",0,0,0,0,0,0,0,0,0,0,0
"Lithophaga.lithophaga",0,0,0,0,0,0,0,0,0,0,0
"Loripes.lucinalis",0,0,0,0,0,0,0,0,0,0,0
"Loripes.orbiculatus",0,0,17.42,16.67,26.92,20.59,14,23.05,0,0,0
"Lucinella.divaricata",0,0,0,0,0,0,0,0,0,0,0
"Lucinidae",0,0,0,0,0,0,0,0,0,0,0
"Lumbrineris.lusitanica",0,0,0,0,17.24,0,0,0,0,0,0
"Macomangulus.tenuis",0,0,0,0,0,0,0,0,0,0,0
"Macropodia.linaresi",0,0,0,0,0,0,0,0,0,0,0
"Mactra.stultorum",0,0,0,0,0,0,0,0,0,0,0
"Magelona.alleni",0,0,14.56,14.29,22.22,17.14,0,13.64,0,0,0
"Magelona.filiformis",0,0,0,0,0,0,0,0,0,0,0
"Magelona.johnstoni",0,0,0,0,0,0,0,0,0,0,0
"Magelona.sp.",0,0,0,0,0,0,0,0,0,0,0
"Malacoceros.fuliginosus",35.71,0,27.78,25,20.83,0,20,66.61,44.05,50,55.56
"Malacoceros.girardi",0,0,0,0,0,0,0,0,0,0,0
"Malacoceros.sp.",23.61,0,0,0,0,0,0,0,0,0,0
"Maldane.glebifex",0,0,0,0,0,0,0,0,0,0,0
"Maldanidae",0,0,0,0,0,0,0,0,0,0,0
"Malmgrenia.andreapolis",0,0,0,0,0,0,0,0,0,0,0
"Malmgrenia.sp.",0,0,0,0,0,0,0,0,0,0,0
"Manayunkia.aestuarina",0,0,0,0,0,0,0,0,0,0,0
"Mangelia.sp.",0,0,0,0,0,0,0,0,0,0,0
"Manzonia.crassa",0,0,0,0,0,0,0,0,0,0,0
"Mediomastus.fragilis",0,0,51.48,61.49,67.58,50.21,35.5,48.28,0,0,0
"Melarhaphe.neritoides",0,0,0,0,0,0,0,0,0,0,0
"Melinna.palmata",0,0,0,0,0,0,0,0,0,0,0
"Melita.hergensis",0,0,0,0,0,0,0,0,0,0,0
"Melita.palmata",0,0,0,0,0,0,0,0,0,0,0
"Melita.sp.",0,0,0,0,0,0,0,0,0,0,0
"Microphthalmus.pseudoaberrans",0,0,0,0,0,0,0,0,0,0,0
"Microphthalmus.sp.",0,0,0,0,0,0,0,0,0,0,0
"Microspio.atlantica",0,0,0,0,0,0,0,0,0,0,0
"Moerella.donacina",0,0,0,0,0,0,0,0,0,0,0
"Monia.patelliformis",0,0,0,0,0,0,0,0,0,0,0
"Monocorophium.acherusicum",0,0,26.46,0,0,0,0,0,0,0,0
"Monocorophium.insidiosum",0,0,0,0,0,0,0,0,0,0,0
"Monocorophium.sp.",0,0,0,0,0,0,0,0,0,0,0
"Montacuta.substriata",0,0,0,0,0,0,0,0,0,0,0
"Myosotella.myosotis",0,0,0,0,0,0,0,0,0,0,0
"Mysta.picta",0,0,0,0,0,0,0,0,0,0,0
"Mytilaster.minimus",0,0,0,0,0,0,0,0,0,0,0
"Mytilidae",0,0,0,0,0,0,0,0,0,0,0
"Mytilus.galloprovincialis",0,0,0,0,0,0,0,0,0,0,0
"Neanthes.caudata",35.39,0,26.09,24.66,27.44,0,27.27,62.19,39.47,49.69,55.25
"Nematoda",49.18,0,0,0,0,0,55.55,53.03,56.96,83.88,63.34
"NEMERTEA",0,0,48.52,49.92,44.3,29.17,33.4,34.52,27.39,0,0
"Nephtys.assimilis",0,0,0,0,0,0,0,0,0,0,0
"Nephtys.cirrosa",56.25,57.39,45.61,61.34,74.25,24.53,32.32,45.94,26.47,50,66
"Nephtys.hombergii",0,0,0,51.3,40.27,31.55,20.63,23.45,0,0,0
"Nephtys.hystricis",0,0,0,0,0,0,0,0,0,0,0
"Nephtys.incisa",0,0,0,0,0,0,0,0,0,0,0
"Nephtys.kersivalensis",0,0,0,0,0,0,0,0,0,0,0
"Nereis.lamellosa",0,0,0,0,0,0,0,0,0,0,0
"Nereis.sp.",0,0,0,0,0,0,0,0,0,0,0
"Notomastus.latericeus",0,0,36.62,50.68,53.17,33.84,31.58,33.91,0,0,0
"Nototropis.falcatus",0,0,0,0,0,0,0,0,0,0,0
"Nototropis.swammerdamei",0,0,0,0,0,0,0,0,0,0,0
"Nucula.sulcata",0,0,17.44,16.67,24.14,0,15.69,21.35,0,0,0
"Odostomia.sp.",0,0,0,0,0,0,0,0,0,0,0
"Oligochaeta",83.6,82.46,0,74.2,80.13,81,81.97,83.36,77.4,79.53,82.33
"Onuphis.eremita",0,0,0,0,0,0,0,0,0,0,0
"Onuphis.sp.",0,0,0,0,0,0,0,0,0,0,0
"Ophelia.bicornis",0,0,0,0,0,0,0,0,0,0,0
"Ophelia.neglecta",0,0,0,0,0,0,0,0,0,0,0
"Ophiodromus.flexuosus",0,0,54.97,59.53,60.63,55.74,34.74,46.64,44.74,68.26,77.44
"Ophiura.ophiura",0,0,0,0,0,0,0,0,0,0,0
"Ophryotrocha.sp.",0,0,32.26,32.76,32.26,22.99,21.82,31.25,44.75,44.38,55.5
"Orbinia.sp.",0,0,0,0,0,0,0,0,0,0,0
"OSTRACODA",0,0,0,0,0,0,0,0,0,0,0
"Ostrea.edulis",0,0,0,0,0,0,0,0,0,0,0
"Oudardia.compressa",0,0,0,0,0,0,0,0,0,0,0
"Owenia.fusiformis",0,0,0,0,0,0,0,0,0,0,0
"Palaemon.serratus",0,0,0,0,0,0,0,0,0,0,0
"Pandora.inaequivalvis",0,0,0,0,0,0,0,0,0,0,0
"Papillicardium.papillosum",0,0,0,0,0,0,0,0,0,0,0
"Paradoneis.armata",0,21.52,19.37,0,24.73,0,0,26.66,0,0,0
"Paradoneis.ilvana",0,0,0,0,0,0,0,0,0,0,0
"Paradoneis.lyra",0,0,0,0,0,0,0,0,0,0,0
"Paragnathia.formica",0,0,27.06,20.04,0,44.28,0,0,0,0,0
"Paramphitrite.tetrabranchia",0,0,0,0,0,0,0,0,0,0,0
"Paraonis.fulgens",0,0,0,0,0,0,0,0,0,0,0
"Parapionosyllis.elegans",0,0,0,0,0,0,0,0,0,0,0
"Parapionosyllis.minuta",0,0,0,0,0,0,0,0,0,0,0
"Pariambus.typicus",0,0,0,0,0,0,0,0,0,0,0
"Parvicardium.ovale",0,0,0,0,0,0,0,0,0,0,0
"Parvicardium.scabrum",0,0,0,0,0,0,0,0,0,0,0
"Parvicardium.sp.",0,0,0,0,0,0,0,0,0,0,0
"Pectinaria.auricoma",0,0,0,0,0,0,0,0,0,0,0
"Peringia.ulvae",0,0,0,69.73,72.33,0,0,67.12,0,0,0
"Perioculodes.longimanus",0,0,0,0,0,0,0,0,0,0,0
"Petricolaria.pholadiformis",0,0,0,0,0,0,0,0,0,0,0
"Phascolion.strombus",0,0,0,0,0,0,0,0,0,0,0
"Philine.sp.",0,0,0,0,0,0,0,0,0,0,0
"Phoronis.sp.",0,0,0,0,0,0,0,0,0,0,0
"Phtisica.marina",0,0,0,0,0,0,0,0,0,0,0
"Phyllodoce.groenlandica",0,0,0,0,0,0,0,0,0,0,0
"Phyllodoce.laminosa",0,0,0,0,0,0,0,0,0,0,0
"Phyllodoce.lineata",0,0,0,0,0,14.88,21.26,0,0,0,0
"Phyllodoce.maculata",0,0,0,0,0,0,0,0,0,0,0
"Phyllodoce.mucosa",0,0,0,0,0,0,0,0,0,0,0
"Phyllodoce.sp.",0,0,0,0,0,0,0,0,0,0,0
"Phyllodocidae",0,0,20,25,20,0,0,20.62,0,0,0
"Phylo.foetida",0,0,0,0,0,0,0,0,0,0,0
"Pilargis.verrucosa",0,0,0,0,0,0,0,0,0,0,0
"Pionosyllis.anophthalma",0,0,0,0,0,0,0,0,0,0,0
"Pisidia.sp.",0,0,0,0,0,0,0,0,0,0,0
"Platyhelminthes",0,0,0,0,0,0,0,0,0,0,0
"Podarkeopsis.capensis",0,0,16.67,19.74,30.67,0,0,0,0,0,0
"Podarkeopsis.sp.",0,0,0,0,0,0,0,0,0,0,0
"Podocoryna.carnea",0,0,0,0,0,0,0,0,0,0,0
"Poecilochaetus.serpens",0,0,0,0,0,0,0,0,0,0,0
"Polititapes.rhomboides",0,0,0,0,0,0,0,0,0,0,0
"Polycirrus.sp.",0,0,25.83,34.91,37.5,39.7,21.95,24.89,0,0,0
"Polydora.ciliata",0,0,0,0,0,20.61,0,0,0,0,0
"Polydora.cornuta",0,33.54,59.25,62.71,62.71,40.48,74.19,49.34,36.74,36.56,34.9
"Polydora.flava",0,0,0,0,0,0,0,0,0,0,0
"Polydora.sp.",0,0,36.36,0,37.48,0,0,0,0,0,0
"Polynoidae",0,0,0,0,0,0,0,0,0,0,0
"Potamopyrgus.antipodarum",0,0,0,0,0,0,0,0,0,0,0
"Prionospio.fallax",0,0,28.51,32.44,38.36,30.18,22.51,31.14,0,0,0
"Prionospio.multibranchiata",0,0,0,0,0,0,0,0,0,0,0
"Prionospio.pulchra",0,0,0,0,0,0,0,0,0,0,0
"Prionospio.sp.",0,0,0,0,0,0,0,0,0,0,0
"Prosphaerosyllis.sp.",0,0,0,0,0,0,0,0,0,0,0
"Prosphaerosyllis.tetralix",0,0,0,0,0,0,0,0,0,0,0
"Protodorvillea.kefersteini",0,0,0,0,0,0,0,0,0,0,0
"Pseudomystides.limbata",0,0,0,0,0,0,0,0,0,0,0
"Pseudopolydora.paucibranchiata",0,0,62.47,60.38,65.84,49.44,48.11,57.09,0,72.99,64.65
"Pseudopolydora.pulchra",0,0,0,0,0,0,0,0,0,0,0
"Pseudopythina.macandrewi",0,0,0,0,0,0,0,0,0,0,0
"Pygospio.elegans",0,0,0,0,0,0,18.18,22.73,0,0,0
"Retusa.sp.",0,0,0,0,0,0,0,0,0,0,0
"Ringicula.auriculata",0,0,0,0,0,0,0,0,0,0,0
"Ringicula.conformis",0,0,0,0,0,0,0,0,0,0,0
"Ringicula.sp.",0,0,0,0,0,0,0,0,0,0,0
"Ruditapes.decussatus",0,21.22,0,0,25.66,0,0,25.02,37.27,24.89,34.44
"Ruditapes.philippinarum",0,0,0,0,0,0,0,0,0,22.45,24.52
"Ruditapes.sp.",0,0,0,0,0,0,24.71,18.84,0,24.13,25.99
"Sabellaria.spinulosa",0,0,0,0,0,0,0,0,0,0,0
"Scalibregma.inflatum",0,0,0,0,0,0,0,0,0,0,0
"Schistomeringos.caeca",0,0,0,0,0,0,0,0,0,0,0
"Schistomeringos.rudolphi",0,0,0,0,0,0,0,0,0,0,0
"Schistomeringos.rudolphii",0,0,0,0,0,0,0,0,0,0,0
"Schistomeringos.sp.",0,0,0,0,0,0,0,0,0,0,0
"Schistomysis.kervillei",0,0,0,0,0,0,0,0,0,0,0
"Scolelepis.bonnieri",0,0,0,0,0,0,0,0,0,0,0
"Scolelepis.sp.",0,0,0,0,0,0,0,0,0,0,0
"Scolelepis.squamata",30,32.16,0,15,35.04,18.75,38.22,44.36,20.88,34.92,40.88
"Scoloplos.sp.",0,0,0,0,0,0,0,0,0,0,0
"Scoloplos.typicus",0,0,0,0,0,0,0,0,0,0,0
"Scrobicularia.plana",0,55.5,0,0,0,57.58,52.84,0,0,0,0
"Semelidae",0,0,0,0,0,0,0,0,0,0,0
"Serratina.serrata",0,0,0,0,0,0,0,0,0,0,0
"Sigalion.mathildae",0,0,0,0,0,0,0,0,0,0,0
"Solen.marginatus",0,0,26.67,36.36,36.36,0,0,0,0,0,0
"Solenidae",0,0,0,0,0,0,0,0,0,0,0
"Sphaerosyllis.sp.",0,0,0,0,0,0,0,0,0,0,0
"Spio.decoratus",0,0,0,0,0,0,0,0,0,0,0
"Spio.martinensis",0,0,0,0,0,0,0,0,0,0,0
"Spio.sp.",0,0,0,0,0,0,0,0,0,0,0
"Spiochaetopterus.costarum",0,0,23.37,21.43,31.03,20.68,19.01,23.2,0,0,0
"Spionidae",0,0,0,0,0,0,0,0,0,0,0
"Spiophanes.bombyx",0,0,0,0,0,0,0,0,0,0,0
"Spiophanes.kroyeri",0,0,0,0,0,0,0,0,0,0,0
"Spisula.elliptica",0,0,0,0,0,0,0,0,0,0,0
"Spisula.sp.",0,0,0,0,0,0,0,0,0,0,0
"Spisula.subtruncata",0,0,0,0,0,0,0,0,0,0,0
"Sternaspis.scutata",0,0,0,21.74,33.33,0,0,0,0,0,0
"Sthenelais.boa",0,0,0,0,0,0,0,0,0,0,0
"Sthenelais.limicola",0,0,0,0,0,0,0,0,0,0,0
"Streblosoma.sp.",0,0,0,0,0,0,0,0,0,0,0
"Streblospio.benedicti",0,0,0,0,0,0,0,0,0,0,0
"Streblospio.shrubsolii",74.95,77.4,0,66.37,0,70.69,69.42,70.64,0,69.52,67.98
"Streptosyllis.websteri",0,0,0,0,0,0,0,0,0,0,0
"Syllidia.armata",0,0,0,0,0,0,0,0,0,0,0
"Syllis.gracilis",0,0,0,0,0,0,0,0,0,0,0
"Syllis.parapari",0,0,0,0,0,0,0,0,0,0,0
"Syllis.rosea",0,0,0,0,0,0,0,0,0,0,0
"Syllis.sp.",0,0,0,0,0,0,0,0,0,0,0
"Synchelidium.haplocheles",0,0,0,0,0,0,0,0,0,0,0
"Tanystylum.conirostre",0,0,0,0,0,0,0,0,0,0,0
"Tapes.sp.",0,17.76,0,0,0,0,0,0,31.17,0,0
"Tellimya.ferruginosa",0,0,0,0,0,0,0,0,0,0,0
"Tellina.serrata",0,0,0,0,0,0,0,0,0,0,0
"Terebellidae",0,0,0,0,0,0,0,0,0,0,0
"Terebellides.stroemii",0,0,0,0,0,0,0,0,0,0,0
"Terebellinae",0,0,0,0,0,0,0,0,0,0,0
"Teredo.navalis",0,0,0,0,0,0,0,0,0,0,0
"Tharyx.killariensis",0,0,0,0,0,0,0,0,0,0,0
"Theora.lubrica",0,0,41.47,52.64,52.14,27.97,27.86,37.37,47.73,82.73,99.4
"Thracia.phaseolina",0,0,0,0,0,0,0,0,0,0,0
"Thyasira.flexuosa",0,0,19.31,16.67,25.93,20.59,17.07,18.06,0,0,0
"Trematoda",0,0,0,0,0,0,0,0,0,0,0
"Tritia.incrassata",0,0,0,0,0,0,0,0,0,0,0
"Tritia.neritea",0,0,0,0,0,0,0,0,0,0,0
"Tritia.nitida",0,0,58.09,28.79,28.79,0,0,0,0,0,0
"Tritia.pygmaea",0,0,36.09,44.45,49.41,54.62,30.39,33.83,16.82,0,15.08
"Tritia.reticulata",0,0,23.45,23.42,36.71,19.9,19.57,27.49,0,0,0
"Tubulanus.polymorphus",0,0,54.85,58.17,57.14,63.47,33.19,43.1,27.69,0,0
"Upogebia.deltaura",0,0,0,0,0,0,0,0,0,0,0
"Upogebia.pusilla",0,0,0,0,0,0,0,0,0,0,0
"Upogebia.sp.",0,0,0,0,0,0,0,0,0,0,0
"Urothoe.brevicornis",0,0,0,0,0,0,0,0,0,0,0
"Urothoe.grimaldii",0,0,0,0,0,0,0,0,0,0,0
"Urothoe.pulchella",0,0,0,0,0,0,0,0,0,0,0
"Urothoe.sp.",0,0,0,0,0,0,0,0,0,0,0
"Venerida",0,0,0,0,0,0,0,0,0,0,0
"Veneridae",0,0,0,0,0,0,0,0,0,0,0
"Venus.casina",0,0,0,0,0,0,0,0,0,0,0
"Virgularia.sp.",0,0,0,0,0,0,0,0,0,0,0
"Vitreolina.philippi",0,0,0,0,0,0,0,0,0,0,0
"Xenostrobus.securis",0,0,0,0,0,0,0,0,0,0,0
