"","AMBI","PI","PI5yAvg","piMetals","piHC","piOM","Redox"
"Acidobacteria group 9",1.0705,0.72672377485,0.7522602178,0.658099542280137,0.158536585365854,4.436875,495.5
"Acidobacteria group 17",NA,NA,NA,NA,NA,NA,NA
"AT-s3-28",1.0705,0.35499149005,0.4845,0.53566772343266,0,1.4396501749,495.5
"Acidobacteria group 5",NA,4.21818858715,1.232848214,4.03084139883363,5,0.515,495.5
"Acidobacteria group 13",4.536,NA,NA,NA,NA,NA,NA
"Acidobacteria group 15",NA,NA,NA,NA,0,NA,NA
"Acidobacteria group 11",1.6205,4.13306949755,NA,4.03084139883363,0,NA,495.5
"MD2898-B26",NA,NA,NA,NA,NA,NA,NA
"MD2896-B214",1.4905,NA,NA,NA,NA,NA,NA
"Belgica2005-10-ZG-3",NA,2.2602781238,1.95819808735,1.93480594673092,0,NA,NA
"Elusimicrobia (class)",NA,3.47078665845,0.5425,3.37909224281028,4.08696581520887,4.58185701721875,-174
"Candidatus Peribacteria",NA,4.21818858715,0.52353385445,NA,NA,NA,NA
"Halanaerobiales class incertae sedis",5.95,0.419973364,0.52353385445,0.53566772343266,0,4.33,441
"Thermoplasmata",NA,NA,NA,NA,NA,NA,NA
"Pacearchaeota",NA,0.8636966157,1.0666852973,3.83243626487274,0.101626016260163,0.42,338
"Deep Sea Euryarchaeotic Group(DSEG)",1.2625,NA,NA,NA,NA,NA,NA
"Sphingobacteriales",1.4905,NA,NA,NA,NA,2.319450261775,261
"Cytophagales",5.7175,0.8192138146,0.52353385445,0.749869639020721,5,0.92,-163.5
"Bacteroidales",1.0705,0.35499149005,0.50353385445,NA,NA,1.555,-174
"Bacteroidia Incertae Sedis",1.0705,0.35499149005,0.5325,NA,0,4.5425595238125,282.5
"Flavobacteriales",NA,3.26659883975,NA,3.67025118562807,5,2.1275,-174
"Saprospirales",5.7175,3.1708880497,3.5063946883,3.67025118562807,5,4.5425595238125,-174
"Chitinophagales",NA,3.1708880497,3.5063946883,3.37909224281028,5,4.5425595238125,-174
"Gemmatimonadales",1.6205,1.23349507385,3.5063946883,0.53566772343266,0,2.075,191
"Rhodothermales",2.927,0.8010657827,3.48493716695,0.749869639020721,5,0.965,191
"Chlorobiales",1.0705,NA,0.52353385445,NA,NA,0.84,288
"Fibrobacterales",1.0705,0.50266465935,0.5425,0.749869639020721,0.101626016260163,0.42,495.5
"possible order 07",1.6775,0.70880881015,0.50353385445,0.749869639020721,2.97476013224662,0.445,405
"Ignavibacteriales",5.95,4.21818858715,3.4998743339,4.03084139883363,5,0.61,495.5
"Burkholderiales",1.0705,NA,NA,NA,3.05338085155898,1.5,NA
"SC-I-84",1.9805,0.419973364,0.5425,NA,NA,0.445,NA
"TRA3-20",NA,4.21818858715,NA,4.03084139883363,4.94969512195122,NA,-174
"B1-7BS",1.6205,NA,0.5325,NA,NA,0.58,NA
"Rhizobiales",NA,NA,NA,NA,0.132929611810119,NA,-174
"Rickettsiales",5.95,3.1708880497,2.4543799801,0.95940286991606,5,4.5425595238125,NA
"Sphingomonadales",1.6205,NA,NA,NA,5,NA,-174
"Rhodospirillales",5.85,3.15324315735,1.3711644785,3.18543867961473,0.597206833922726,0.42,317.5
"SAR11 clade",1.3855,NA,NA,0.604639926720508,NA,NA,NA
"S26-47",NA,NA,NA,NA,NA,NA,NA
"Thiotrichales",1.2625,0.35499149005,0.52353385445,0.974291026980077,NA,0.855,NA
"Xanthomonadales",1.6775,3.15324315735,3.5063946883,3.31563879205685,0,0.515,-174
"Oceanospirillales",5.8615,0.35499149005,0.50353385445,0.621331584361621,NA,4.44,NA
"Chromatiales",1.6205,0.83348022185,1.0258089991,0.911581075049037,0,NA,-147
"Cellvibrionales",1.2625,NA,0.5425,NA,0,NA,NA
"Methylococcales",NA,NA,NA,NA,NA,NA,NA
"E01-9C-26 marine group",1.6775,0.70880881015,0.50353385445,0.749869639020721,0,0.445,288
"HTA4",1.0705,0.35499149005,0.52353385445,0.53566772343266,5,0.855,-174
"KI89A clade",1.4475,0.35499149005,0.52353385445,0.53566772343266,0,2.05,273.5
"Sva0071",NA,2.32475310365,2.5298383763,3.47695706503649,0,NA,-44.5
"BD7-8 marine group",1.6775,0.46505746985,3.48493716695,0.604639926720508,5,3.0013927576625,299.5
"X35",NA,0.35499149005,1.05429519535,0.658099542280137,NA,4.5425595238125,495.5
"HOC36",1.0705,0.6565774215,0.64322360265,0.621331584361621,5,0.84,191
"1013-28-CG33",NA,4.13306949755,NA,NA,0.185460207122295,0.6,477.5
"EC3",1.0705,0.50266465935,0.7522602178,0.620257651023873,0.198111918891435,0.42,282.5
"Run-SP154",5.8115,NA,NA,NA,NA,0.42,495.5
"PYR10d3",1.0705,0.381973364,0.5425,3.47695706503649,NA,4.33,495.5
"CS-B046",1.9805,0.35499149005,0.50353385445,0.604639926720508,0,0.42,342.5
"SS1-B-09-64",1.0705,0.381973364,0.50353385445,0.928175612215058,0,4.425625,-163.5
"CK-1C2-67",1.4475,0.9484726575,0.88579489865,0.911581075049037,NA,0.6,NA
"195up",5.85,NA,2.06986061915,NA,1.60675601155514,NA,NA
"OXIC-003",1.6775,NA,NA,NA,NA,NA,NA
"Bdellovibrionales",4.3025,0.46505746985,3.48493716695,NA,5,1.065,NA
"Myxococcales",1.4065,NA,0.52353385445,NA,NA,1.5,NA
"Desulfuromonadales",1.0705,0.6565774215,0.5325,0.621331584361621,NA,0.485,NA
"Sva0485",NA,0.381973364,0.50353385445,0.604639926720508,0,0.485,322
"Desulfobacterales",1.0705,4.21818858715,3.5063946883,4.03084139883363,5,1.85,432.5
"Desulfarculales",NA,NA,NA,NA,NA,NA,NA
"Bradymonadales",NA,NA,NA,NA,NA,NA,NA
"Oligoflexales",5.85,3.15324315735,0.50353385445,3.0883045000076,5,NA,NA
"NB1-j",1.4905,0.35499149005,3.5063946883,0.53566772343266,5,4.425625,288
"SAR324 clade(Marine group B)",1.4065,NA,0.50353385445,NA,NA,1.555,495.5
"43F-1404R",1.2625,NA,NA,NA,NA,0.485,NA
"10bav-F6",NA,3.63401713805,3.5063946883,3.67025118562807,4.85436998193877,4.5425595238125,-174
"FW113",3.1265,4.13306949755,3.5063946883,4.03084139883363,5,4.5425595238125,-132
"5m83",1.4475,3.1708880497,0.50353385445,3.44471530704487,5,4.58185701721875,299.5
"Clostridiales",1.6775,0.46505746985,0.5425,0.604639926720508,3.02193417644351,0.515,-174
"D8A-2",NA,NA,NA,NA,NA,3.9312020649,273.5
"Bacillales",5.95,1.03537108825,1.14870903645,0.621331584361621,0.164634146341463,2.875,432.5
"Mollicutes RF9",1.0705,0.8010657827,0.5809043679,0.790622099533512,0.0447154471544715,4.49,273.5
"NB1-n",1.0705,0.419973364,0.4845,0.53566772343266,0,1.555,495.5
"Synechococcales",NA,NA,NA,NA,NA,NA,NA
"Nostocales",1.4905,NA,NA,NA,NA,NA,NA
"Pleurocapsales",1.0705,1.0209631668,1.1246126593,0.824939988898102,0.431741719408482,0.92,129
"Gastranaerophilales",5.0615,NA,NA,NA,NA,NA,NA
"PeM15",1.6205,0.35499149005,0.4845,0.604639926720508,0,0.515,261
"Gaiellales",NA,NA,NA,NA,NA,4.58185701721875,-151
"Acidimicrobiales",1.0705,4.21818858715,3.5063946883,4.03084139883363,4.94969512195122,2.075,63.5
"Nitriliruptorales",1.0705,0.6565774215,0.64322360265,0.621331584361621,0,0.995,477.5
"vadinBA26",NA,3.41909814815,0.5809043679,0.621331584361621,4.58269745928635,0.42,495.5
"GIF9",1.0705,4.13306949755,2.62082543465,2.64548669428558,5,4.63742249340625,-174
"GIF3",NA,3.47078665845,3.5063946883,3.37909224281028,4.85436998193877,4.441875,-174
"MSBL5",NA,3.41909814815,3.5063946883,3.44471530704487,4.58269745928635,0.965,-174
"FW22",NA,4.13306949755,3.5063946883,3.67025118562807,5,4.5425595238125,-174
"Napoli-4B-65",5.95,3.28270967745,3.5063946883,2.71437729760545,5,4.63742249340625,-174
"FS117-23B-02",NA,3.47078665845,NA,NA,5,0.92,-174
"Anaerolineales",5.95,0.46505746985,0.5809043679,0.604639926720508,NA,NA,NA
"Chloroflexales",5.95,NA,NA,NA,NA,0.42,NA
"Ardenticatenales",1.0705,0.46505746985,0.5425,0.604639926720508,0,0.995,409.5
"JG30-KF-CM45",NA,NA,NA,NA,NA,NA,NA
"AKYG1722",2.723,0.6565774215,0.8463990458,0.824939988898102,0,0.7,227
"KD4-96",NA,NA,NA,NA,NA,NA,441
"Gitt-GS-136",NA,NA,NA,NA,NA,NA,NA
"Thermoflexales",NA,3.47078665845,3.5063946883,3.37909224281028,4.85436998193877,2.075,-144.5
"KD3-62",2.998,3.47078665845,3.44149437535,3.31563879205685,5,2.7725,14.5
"Fimbriimonadales",NA,0.6565774215,1.1687365971,0.604639926720508,0,0.42,495.5
"Spirochaetales",1.0705,0.6828530963,0.64322360265,0.621331584361621,4.12454593976556,0.445,495.5
"Leptospiriales",5.7175,3.7632111444,NA,NA,NA,NA,-147
"PL-11B10",1.9805,0.92180656065,0.5809043679,NA,NA,0.445,383
"Planctomycetales",1.0705,4.21818858715,3.5063946883,4.03084139883363,5,3.74875,-174
"MSBL9",NA,0.6828530963,0.64322360265,0.53566772343266,4.3062383322962,0.8,473.5
"Phycisphaerales",1.0705,0.419973364,0.52353385445,0.53566772343266,0,0.965,495.5
"SHA-43",NA,3.63401713805,3.5063946883,3.37909224281028,4.58269745928635,0.94,-5.5
"mle1-8",NA,3.41909814815,NA,3.67025118562807,4.85436998193877,NA,NA
"CCM11a",NA,NA,NA,NA,4.58269745928635,NA,NA
"KCLunmb-38-53",NA,3.41909814815,3.5063946883,0.604639926720508,5,2.75,282.5
"MSB-3A7 sediment group",1.0705,0.419973364,0.52353385445,0.53566772343266,0,2.075,305.5
"Pla1 lineage",2.7025,4.13306949755,3.1841067505,3.67025118562807,4.85436998193877,0.485,311.5
"ODP1230B30.09",3.1285,3.63401713805,3.5063946883,3.44471530704487,4.42753786786468,NA,NA
"C86",1.6205,0.70880881015,0.5325,0.704401727376405,0,0.8,273.5
"Opitutae vadinHA64",NA,2.5630521145,NA,1.11006058800802,NA,NA,NA
"Puniceicoccales",1.3855,0.35499149005,0.52353385445,0.53566772343266,0,0.88,NA
"Verrucomicrobiales",NA,NA,NA,NA,NA,0.58,NA
"P.palmC41",NA,0.35499149005,2.4543799801,NA,2.68613370872352,0.42,-151
"SS1-B-02-17",NA,1.06687044935,1.20888467065,NA,0.00964530180460485,0.42,410.5
"Victivallales",1.3855,0.35499149005,0.5325,0.604639926720508,5,0.545,NA
"R76-B128",NA,0.381973364,0.52353385445,0.53566772343266,0,0.8,386
"MSBL3",1.0705,0.72672377485,0.64322360265,0.749869639020721,5,2.4,-174
"Campylobacterales",NA,2.65830934245,3.23062466975,NA,3.02193417644351,4.63742249340625,-151
"Desulfurellales",1.8505,NA,NA,NA,NA,NA,NA
"Synergistales",NA,3.49436310305,3.1841067505,NA,4.58269745928635,NA,NA
"Blastocatellales",NA,1.1895781545,1.03757355125,0.84403512025432,0,0.42,409.5
"Acidobacteria group 23",5.95,0.46505746985,0.50353385445,0.604639926720508,0,0.485,326
"Acidobacteria group 10",1.0705,0.6565774215,1.02852306895,0.749869639020721,0.597206833922726,1.275,495.5
"Acanthopleuribacterales (Acidobacteria group 8)",1.2625,NA,1.0074955991,NA,NA,NA,420
"Acidobacteria group 22",1.6205,0.35499149005,0.52353385445,0.658099542280137,0,2.05,273.5
"Acidobacteria group 26",1.6205,0.77974351465,0.52353385445,NA,NA,1.585,273.5
"Fusobacteriales",1.0705,0.419973364,0.4845,NA,NA,0.515,NA
"4-29",NA,3.7632111444,3.4998743339,3.46153415214349,4.3062383322962,4.63742249340625,-144.5
"Lineage IIb",1.4065,NA,NA,NA,NA,NA,NA
"Halanaerobiales",1.0705,0.50266465935,2.2969474004,0.620257651023873,5,0.42,495.5
"Nitrospirales",NA,NA,NA,NA,NA,NA,NA
"AMOS1A-4113-D04",5.95,2.4936711441,2.44411019675,3.47695706503649,3.02193417644351,4.5425595238125,-174
"Marine Benthic Group D and DHVEG-1",1.0705,4.13306949755,3.1645,3.44471530704487,5,3.22125,-174
"CCA47",NA,3.41909814815,2.556482624,3.59239629764959,2.99339083076581,4.5425595238125,-174
"Ca. Nitrosopumilales",1.4475,1.7944111703,3.13670309855,0.604639926720508,5,3.2375,273.5
"Nitrososphaerales",NA,NA,NA,NA,NA,NA,NA
"NS11-12 marine group",NA,NA,NA,3.67025118562807,5,NA,-174
"Lentimicrobiaceae",1.0705,0.46505746985,0.50353385445,0.604639926720508,0,0.42,383
"PHOS-HE51",NA,NA,NA,NA,5,0.42,NA
"env.OPS 17",1.6205,NA,NA,NA,4.94969512195122,NA,-174
"KD3-93",1.4065,NA,NA,2.85757827592513,5,NA,NA
"ST-12K33",5.95,0.72672377485,0.64322360265,0.749869639020721,5,4.441875,-163.5
"AKYH767",5.95,NA,NA,NA,NA,0.545,NA
"LiUU-11-161",1.9805,NA,NA,NA,4.94969512195122,0.7,NA
"Flammeovirgaceae",NA,NA,NA,NA,0,0.42,495.5
"Cytophagaceae",NA,4.13306949755,NA,4.03084139883363,4.58269745928635,NA,-174
"Cyclobacteriaceae",NA,NA,NA,NA,NA,NA,174
"Catalimonadaceae ",NA,0.46505746985,0.50353385445,0.604639926720508,0,0.42,322
"Porphyromonadaceae",1.0705,NA,NA,NA,NA,4.436875,NA
"Marinilabiaceae",1.0705,0.35499149005,0.52353385445,0.621331584361621,0.0691056910569106,0.42,495.5
"Prolixibacteraceae",1.6775,4.13306949755,3.5063946883,NA,NA,0.445,-174
"Rikenellaceae",1.9805,NA,NA,NA,3.8949283748438,1.4396501749,NA
"Odoribacteraceae",NA,0.381973364,0.64322360265,NA,4.94969512195122,0.84900521855,144
"Bacteroidales RF16 group",NA,NA,NA,0.604639926720508,NA,NA,409.5
"M2PB4-65 termite group",4.7115,NA,NA,NA,NA,NA,NA
"Draconibacteriaceae",1.4475,0.35499149005,0.4845,0.53566772343266,0.0691056910569106,0.42,477.5
"Flavobacteriaceae",NA,3.41909814815,3.44149437535,3.37909224281028,5,NA,NA
"Cryomorphaceae",5.8885,NA,NA,3.44471530704487,NA,NA,NA
"NS9 marine group",1.6775,NA,NA,NA,NA,NA,NA
"Crocinitomicaceae",NA,NA,NA,NA,NA,0.42,NA
"NS7 marine group",5.8385,0.5795,0.6780984511,0.53566772343266,0.239775423578754,0.7937007874,-174
"Haliscomenobacteraceae",NA,4.13306949755,3.5063946883,4.03084139883363,5,4.5425595238125,-174
"Lweinellacea",5.8885,3.1708880497,3.48493716695,3.67025118562807,5,1.19,-163.5
"Saprospiraceae",NA,3.2232917425,2.556482624,4.03084139883363,2.68613370872352,NA,-153
"Chitinophagaceae",1.6775,NA,NA,NA,5,0.445,NA
"BIgi5",NA,NA,2.2362682451,NA,NA,4.04202503209375,NA
"Gemmatimonadaceae",NA,4.13306949755,NA,4.03084139883363,4.74687707109647,NA,495.5
"Longimicrobiaceae",2.723,0.62874408815,0.5809043679,0.604639926720508,0,0.515,381.5
"Rubricoccaceae",NA,0.6828530963,0.9354919297,0.824939988898102,0.431741719408482,0.92,100.5
"SJA-28",1.9805,NA,NA,NA,5,0.64,NA
"OPB56",1.6205,0.35499149005,0.4845,NA,NA,0.445,282.5
"09D2Z46",NA,0.8010657827,0.6780984511,0.790622099533512,0.198111918891435,2.075,-174
"FD035",1.9805,0.9081788795,0.5809043679,0.604639926720508,3.02193417644351,2.7725,273.5
"Fibrobacteraceae",1.0705,NA,NA,NA,NA,2.05,NA
"possible family 01",1.0705,0.46505746985,0.52353385445,0.604639926720508,5,2.825,-174
"Caldithrix family incertae sedis",NA,4.13306949755,2.37895928835,3.59239629764959,3.05338085155898,NA,-174
"BSV26",1.2625,NA,NA,NA,4.58269745928635,NA,NA
"PHOS-HE36",NA,4.13306949755,3.5063946883,4.03084139883363,4.42753786786468,4.5425595238125,-163.5
"IheB3-7",1.0705,0.35499149005,0.50353385445,0.604639926720508,0,0.42,473.5
"Comamonadaceae",1.4065,NA,NA,NA,4.94969512195122,NA,-174
"Burkholderiaceae",5.543,NA,0.52353385445,NA,NA,0.42,NA
"Oxalobacteraceae",1.6205,NA,0.4845,NA,NA,0.485,NA
"Alcaligenaceae",1.9805,NA,0.5325,0.704401727376405,4.74687707109647,NA,NA
"Rhodocyclaceae",1.6205,NA,NA,NA,5,0.6,NA
"Nitrosomonadaceae",1.6205,NA,NA,NA,3.93132117615513,NA,NA
"Gallionellaceae",5.95,NA,NA,NA,2.5562655253186,NA,NA
"Hydrogenophilaceae",5.95,3.78558204705,3.2085380591,NA,4.94969512195122,4.5425595238125,-174
"Neisseriaceae",1.4475,0.8192138146,0.93755601405,NA,NA,1.64,NA
"Methylophilaceae",1.0705,NA,0.52353385445,NA,NA,0.515,NA
"Phyllobacteriaceae",NA,4.13306949755,2.44411019675,3.59239629764959,4.94969512195122,4.5425595238125,-174
