"","AMBI","microgAMBI","PI","PI5yAvg","piMetals","piHC","piOM","Redox"
"Echinocardium.cordatum",NA,NA,NA,NA,NA,NA,NA,NA
"Echiura",NA,NA,NA,NA,NA,NA,NA,NA
"Edwardsia.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Edwardsiidae",NA,NA,NA,NA,NA,NA,NA,NA
"Elminius.modestus",NA,NA,NA,NA,NA,NA,NA,NA
"Euclymene.collaris",NA,NA,NA,NA,NA,NA,NA,NA
"Euclymene.oerstedi",NA,NA,NA,NA,NA,NA,NA,NA
"Euclymene.oerstedii",NA,NA,3.278,2.4935,3.47695706503649,2.7904284355538,NA,31.5
"Euclymene.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Euglesa.casertana",NA,NA,NA,NA,NA,NA,NA,NA
"Eulimella.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Eumida.bahusiensis",NA,NA,NA,NA,NA,NA,NA,NA
"Eumida.sanguinea",NA,NA,NA,NA,NA,NA,NA,NA
"Eumida.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Eurydice.affinis",2.723,1.84185325285,NA,0.5175,NA,0,0.515,395
"Eurydice.naylori",NA,NA,NA,NA,NA,NA,NA,NA
"Eurydice.pulchra",NA,NA,NA,NA,NA,NA,NA,NA
"Eurydice.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Euspira.nitida",NA,NA,2.2945,2.808,1.93480594673092,2.20556818239309,NA,NA
"Exogone.dispar",NA,NA,NA,NA,NA,NA,NA,NA
"Fabulina.fabula",NA,NA,NA,NA,NA,NA,NA,NA
"Ficopomatus.enigmaticus",NA,NA,NA,NA,NA,NA,NA,NA
"Galathowenia.oculata",NA,NA,NA,NA,NA,NA,NA,NA
"Gallardoneris.iberica",NA,NA,NA,NA,NA,NA,NA,NA
"Gammarus.chevreuxi",NA,NA,NA,NA,NA,NA,NA,NA
"Gammarus.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Gari.costulata",NA,NA,NA,NA,NA,NA,NA,NA
"Gari.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA
"Gastrosaccus.sanctus",NA,NA,NA,NA,NA,NA,NA,NA
"Glycera.convoluta",NA,NA,NA,NA,NA,NA,NA,NA
"Glycera.fallax",NA,NA,NA,NA,NA,NA,NA,NA
"Glycera.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Glycera.tridactyla",NA,NA,NA,NA,NA,NA,NA,NA
"Glycera.unicornis",NA,NA,3.852,2.808,3.47695706503649,4.86247666459241,4.33,-64
"Golfingia.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Goniada.maculata",NA,NA,NA,NA,NA,NA,NA,NA
"Goniadella.gracilis",NA,NA,NA,NA,NA,NA,NA,NA
"Goodallia.triangularis",NA,NA,NA,NA,NA,NA,NA,NA
"Gouldia.minima",NA,NA,NA,NA,NA,NA,NA,NA
"Grandidierella.japonica",NA,NA,3.852,3.402,3.52434514331092,4.86247666459241,NA,-97
"HALACARIDAE",NA,NA,NA,NA,NA,NA,NA,NA
"Harpinia.pectinata",NA,NA,NA,NA,NA,NA,NA,NA
"Haustorius.arenarius",NA,NA,NA,NA,NA,NA,NA,NA
"Hediste.diversicolor",3.091,1.77421082335,NA,NA,NA,NA,NA,NA
"Hemigrapsus.takanoi",NA,NA,NA,NA,NA,NA,NA,NA
"Hesionidae",NA,NA,NA,NA,NA,NA,NA,NA
"Heteromastus.filiformis",NA,NA,NA,NA,NA,1.04539211073505,4.33,-33.5
"Heterotanais.oerstedi",NA,NA,NA,NA,NA,NA,NA,NA
"Hippomedon.denticulatus",NA,NA,NA,NA,NA,NA,NA,NA
"Hyala.vitrea",NA,NA,2.4785,2.568,NA,NA,4.365625,NA
"Idotea.chelipes",NA,NA,NA,NA,NA,NA,NA,NA
"Insecta",NA,NA,NA,NA,NA,NA,NA,NA
"Iphinoe.tenella",NA,NA,2.2945,2.808,1.93480594673092,2.7904284355538,NA,-137.5
"Kirkegaardia.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Kurtiella.bidentata",NA,NA,3.852,3.402,3.47695706503649,4.86247666459241,NA,-123
"Lagis.koreni",NA,NA,2.357,NA,NA,3.33807788334573,NA,NA
"Laonice.cirrata",NA,NA,2.357,NA,NA,3.33807788334573,NA,NA
"Lekanesphaera.hookeri",NA,NA,NA,NA,NA,NA,NA,NA
"Lekanesphaera.rugicauda",NA,NA,NA,NA,NA,NA,NA,NA
"Lekanesphaera.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Lepidochitona.cinerea",NA,NA,NA,NA,NA,NA,NA,NA
"Leptocheirus.pilosus",NA,NA,NA,NA,NA,NA,NA,NA
"Leptognathiidae",NA,NA,NA,NA,NA,NA,NA,NA
"Leptopentacta.elongata",NA,NA,NA,NA,NA,NA,NA,NA
"Leptosynapta.galliennii",NA,NA,NA,2.4935,NA,NA,NA,NA
"Leptosynapta.inhaerens",NA,NA,NA,NA,NA,NA,NA,NA
"Levinsenia.gracilis",NA,NA,NA,NA,NA,NA,NA,NA
"Lithophaga.lithophaga",NA,NA,NA,NA,NA,NA,NA,NA
"Loripes.lucinalis",NA,NA,NA,NA,NA,NA,NA,NA
"Loripes.orbiculatus",NA,NA,2.5655,1.9745,NA,2.7904284355538,NA,-137.5
"Lucinella.divaricata",NA,NA,NA,NA,NA,NA,NA,NA
"Lucinidae",NA,NA,NA,NA,NA,NA,NA,NA
"Lumbrineris.lusitanica",NA,NA,NA,NA,NA,NA,NA,NA
"Macomangulus.tenuis",NA,NA,NA,NA,NA,NA,NA,NA
"Macropodia.linaresi",NA,NA,NA,NA,NA,NA,NA,NA
"Mactra.stultorum",NA,NA,NA,NA,NA,NA,NA,NA
"Magelona.alleni",NA,NA,NA,NA,NA,2.7904284355538,NA,-137.5
"Magelona.filiformis",NA,NA,NA,NA,NA,NA,NA,NA
"Magelona.johnstoni",NA,NA,NA,NA,NA,NA,NA,NA
"Magelona.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Malacoceros.fuliginosus",5.8615,NA,3.214,2.6355,2.87113786492227,3.00330347792432,4.365625,NA
"Malacoceros.girardi",NA,NA,NA,NA,NA,NA,NA,NA
"Malacoceros.sp.",2.629,NA,NA,NA,NA,NA,NA,NA
"Maldane.glebifex",NA,NA,NA,NA,NA,NA,NA,NA
"Maldanidae",NA,NA,NA,NA,NA,NA,NA,NA
"Malmgrenia.andreapolis",NA,NA,NA,NA,NA,NA,NA,NA
"Malmgrenia.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Manayunkia.aestuarina",NA,NA,NA,NA,NA,NA,NA,NA
"Mangelia.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Manzonia.crassa",NA,NA,NA,NA,NA,NA,NA,NA
"Mediomastus.fragilis",NA,NA,2.2215,2.568,1.93480594673092,2.68613370872352,NA,-123
"Melarhaphe.neritoides",NA,NA,NA,NA,NA,NA,NA,NA
"Melinna.palmata",NA,NA,2.947,NA,NA,NA,NA,NA
"Melita.hergensis",NA,NA,NA,NA,NA,NA,NA,NA
"Melita.palmata",NA,NA,NA,NA,NA,NA,NA,NA
"Melita.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Microphthalmus.pseudoaberrans",NA,NA,NA,NA,NA,NA,NA,NA
"Microphthalmus.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Microspio.atlantica",NA,NA,NA,NA,NA,NA,NA,NA
"Moerella.donacina",NA,NA,NA,NA,NA,NA,NA,NA
"Monia.patelliformis",NA,NA,NA,NA,NA,NA,NA,NA
"Monocorophium.acherusicum",NA,NA,3.852,3.402,NA,NA,NA,NA
"Monocorophium.insidiosum",NA,NA,NA,NA,NA,NA,NA,NA
"Monocorophium.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Montacuta.substriata",NA,NA,NA,NA,NA,NA,NA,NA
"Myosotella.myosotis",NA,NA,NA,NA,NA,NA,NA,NA
"Mysta.picta",NA,NA,NA,NA,NA,NA,NA,NA
"Mytilaster.minimus",NA,NA,NA,NA,NA,NA,NA,NA
"Mytilidae",NA,NA,NA,NA,NA,NA,NA,NA
"Mytilus.galloprovincialis",NA,NA,NA,NA,NA,NA,NA,NA
"Neanthes.caudata",5.8615,NA,2.5655,2.6355,2.87113786492227,3.66631252497964,4.111875,NA
"Nematoda",4.1445,NA,NA,NA,NA,NA,3.988125,NA
"NEMERTEA",NA,NA,3.593,3.5025,3.52434514331092,4.86247666459241,1.635,-97
"Nephtys.assimilis",NA,NA,NA,NA,NA,NA,NA,NA
"Nephtys.cirrosa",1.9,1.35143242505,0.378,0.5175,0.824939988898102,NA,1.1,299.5
"Nephtys.hombergii",NA,NA,NA,NA,NA,4.09582789472885,NA,31.5
"Nephtys.hystricis",NA,NA,NA,NA,NA,NA,NA,NA
"Nephtys.incisa",NA,NA,NA,NA,NA,NA,NA,NA
"Nephtys.kersivalensis",NA,NA,NA,NA,NA,NA,NA,NA
"Nereis.lamellosa",NA,NA,NA,NA,NA,NA,NA,NA
"Nereis.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Notomastus.latericeus",NA,NA,3.852,3.5025,3.47695706503649,4.86247666459241,NA,-123
"Nototropis.falcatus",NA,NA,NA,NA,NA,NA,NA,NA
"Nototropis.swammerdamei",NA,NA,NA,NA,NA,NA,NA,NA
"Nucula.sulcata",NA,NA,2.2945,3.5025,1.93480594673092,2.20556818239309,NA,NA
"Odostomia.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Oligochaeta",3.067,1.84185325285,NA,0.5745,NA,NA,0.515,388.5
"Onuphis.eremita",NA,NA,NA,NA,NA,NA,NA,NA
"Onuphis.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Ophelia.bicornis",NA,NA,NA,NA,NA,NA,NA,NA
"Ophelia.neglecta",NA,NA,NA,NA,NA,NA,NA,NA
"Ophiodromus.flexuosus",NA,NA,2.526,2.568,3.47695706503649,2.68613370872352,4.33,-123
"Ophiura.ophiura",NA,NA,NA,NA,NA,NA,NA,NA
"Ophryotrocha.sp.",NA,NA,2.526,2.7095,1.95017844169924,2.7904284355538,4.365625,-62.5
"Orbinia.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"OSTRACODA",NA,NA,NA,NA,NA,NA,NA,NA
"Ostrea.edulis",NA,NA,NA,NA,NA,NA,NA,NA
"Oudardia.compressa",NA,NA,NA,NA,NA,NA,NA,NA
"Owenia.fusiformis",NA,NA,NA,NA,NA,NA,NA,NA
"Palaemon.serratus",NA,NA,NA,NA,NA,NA,NA,NA
"Pandora.inaequivalvis",NA,NA,NA,NA,NA,NA,NA,NA
"Papillicardium.papillosum",NA,NA,NA,NA,NA,NA,NA,NA
"Paradoneis.armata",NA,2.0565502807,NA,NA,2.05859307627545,2.1303225598373,NA,NA
"Paradoneis.ilvana",NA,NA,NA,NA,NA,NA,NA,NA
"Paradoneis.lyra",NA,NA,NA,NA,NA,NA,NA,NA
"Paragnathia.formica",NA,NA,0.5255,0.8485,NA,NA,NA,460.5
"Paramphitrite.tetrabranchia",NA,NA,NA,NA,NA,NA,NA,NA
"Paraonis.fulgens",NA,NA,NA,NA,NA,NA,NA,NA
"Parapionosyllis.elegans",NA,NA,NA,NA,NA,NA,NA,NA
"Parapionosyllis.minuta",NA,NA,NA,NA,NA,NA,NA,NA
"Pariambus.typicus",NA,NA,NA,NA,NA,NA,NA,NA
"Parvicardium.ovale",NA,NA,NA,NA,NA,NA,NA,NA
"Parvicardium.scabrum",NA,NA,NA,NA,NA,NA,NA,NA
"Parvicardium.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Pectinaria.auricoma",NA,NA,NA,NA,NA,NA,NA,NA
"Peringia.ulvae",NA,NA,NA,2.6355,NA,NA,NA,NA
"Perioculodes.longimanus",NA,NA,NA,NA,NA,NA,NA,NA
"Petricolaria.pholadiformis",NA,NA,NA,NA,NA,NA,NA,NA
"Phascolion.strombus",NA,NA,NA,NA,NA,NA,NA,NA
"Philine.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Phoronis.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Phtisica.marina",NA,NA,NA,NA,NA,NA,NA,NA
"Phyllodoce.groenlandica",NA,NA,NA,NA,NA,NA,NA,NA
"Phyllodoce.laminosa",NA,NA,NA,NA,NA,NA,NA,NA
"Phyllodoce.lineata",NA,NA,2.5655,NA,NA,NA,NA,NA
"Phyllodoce.maculata",NA,NA,NA,NA,NA,NA,NA,NA
"Phyllodoce.mucosa",NA,NA,NA,NA,NA,NA,NA,NA
"Phyllodoce.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Phyllodocidae",NA,NA,2.4785,NA,2.04031278909835,2.1303225598373,NA,NA
"Phylo.foetida",NA,NA,NA,NA,NA,NA,NA,NA
"Pilargis.verrucosa",NA,NA,2.526,NA,NA,NA,NA,NA
"Pionosyllis.anophthalma",NA,NA,NA,NA,NA,NA,NA,NA
"Pisidia.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA
"Podarkeopsis.capensis",NA,NA,2.2945,2.568,NA,2.90630881281588,NA,NA
"Podarkeopsis.sp.",NA,NA,2.526,NA,NA,NA,NA,NA
"Podocoryna.carnea",NA,NA,NA,NA,NA,NA,NA,NA
"Poecilochaetus.serpens",NA,NA,NA,NA,NA,NA,NA,NA
"Polititapes.rhomboides",NA,NA,NA,NA,NA,NA,NA,NA
"Polycirrus.sp.",NA,NA,3.852,2.4935,3.52434514331092,4.86247666459241,NA,-64
"Polydora.ciliata",NA,NA,NA,NA,3.47695706503649,NA,NA,-12.5
"Polydora.cornuta",NA,3.26396946865,2.892,3.2065,3.52434514331092,3.8348510834206,3.5,-97
"Polydora.flava",NA,NA,NA,NA,NA,NA,NA,NA
"Polydora.sp.",NA,NA,3.852,NA,2.99291468038404,4.86247666459241,NA,NA
"Polynoidae",NA,NA,NA,NA,NA,NA,NA,NA
"Potamopyrgus.antipodarum",NA,NA,NA,NA,NA,NA,NA,NA
"Prionospio.fallax",NA,NA,2.4785,2.7095,3.47695706503649,2.7904284355538,NA,-123
"Prionospio.multibranchiata",NA,NA,NA,NA,NA,NA,NA,NA
"Prionospio.pulchra",NA,NA,NA,NA,NA,NA,NA,NA
"Prionospio.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Prosphaerosyllis.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Prosphaerosyllis.tetralix",NA,NA,NA,NA,NA,NA,NA,NA
"Protodorvillea.kefersteini",NA,NA,NA,NA,NA,NA,NA,NA
"Pseudomystides.limbata",NA,NA,NA,NA,NA,NA,NA,NA
"Pseudopolydora.paucibranchiata",NA,NA,3.214,2.7095,3.38580924772339,2.68613370872352,NA,-100.5
"Pseudopolydora.pulchra",NA,NA,NA,NA,NA,NA,NA,NA
"Pseudopythina.macandrewi",NA,NA,NA,NA,NA,NA,NA,NA
"Pygospio.elegans",NA,NA,1.0305,NA,0.863958976045419,0.346215237199043,NA,NA
"Retusa.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Ringicula.auriculata",NA,NA,NA,NA,NA,NA,NA,NA
"Ringicula.conformis",NA,NA,NA,NA,NA,NA,NA,NA
"Ringicula.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Ruditapes.decussatus",NA,1.74660799885,NA,NA,NA,NA,0.515,NA
"Ruditapes.philippinarum",NA,NA,NA,NA,NA,NA,NA,NA
"Ruditapes.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Sabellaria.spinulosa",NA,NA,NA,NA,NA,NA,NA,NA
"Scalibregma.inflatum",NA,NA,NA,NA,NA,NA,NA,NA
"Schistomeringos.caeca",NA,NA,NA,NA,NA,NA,NA,NA
"Schistomeringos.rudolphi",NA,NA,NA,NA,NA,NA,NA,NA
"Schistomeringos.rudolphii",NA,NA,NA,NA,NA,NA,NA,NA
"Schistomeringos.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Schistomysis.kervillei",NA,NA,NA,NA,NA,NA,NA,NA
"Scolelepis.bonnieri",NA,NA,NA,NA,NA,NA,NA,NA
"Scolelepis.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Scolelepis.squamata",2.723,1.35143242505,NA,0.5175,NA,NA,0.515,388.5
"Scoloplos.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Scoloplos.typicus",NA,NA,NA,NA,NA,NA,NA,NA
"Scrobicularia.plana",NA,1.7086491776,NA,NA,NA,NA,NA,289
"Semelidae",NA,NA,NA,NA,NA,NA,NA,NA
"Serratina.serrata",NA,NA,NA,NA,NA,NA,NA,NA
"Sigalion.mathildae",NA,NA,NA,NA,NA,NA,NA,NA
"Solen.marginatus",NA,NA,3.852,3.402,3.52434514331092,NA,NA,-123
"Solenidae",NA,NA,NA,NA,NA,NA,NA,NA
"Sphaerosyllis.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Spio.decoratus",NA,NA,NA,NA,NA,NA,NA,NA
"Spio.martinensis",NA,NA,NA,NA,NA,NA,NA,NA
"Spio.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Spiochaetopterus.costarum",NA,NA,2.2215,1.9745,1.93480594673092,2.7904284355538,NA,-137.5
"Spionidae",NA,NA,NA,NA,NA,NA,NA,NA
"Spiophanes.bombyx",NA,NA,NA,NA,NA,NA,NA,NA
"Spiophanes.kroyeri",NA,NA,NA,NA,NA,NA,NA,NA
"Spisula.elliptica",NA,NA,NA,NA,NA,NA,NA,NA
"Spisula.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Spisula.subtruncata",NA,NA,NA,NA,NA,NA,NA,NA
"Sternaspis.scutata",NA,NA,2.2215,3.5025,NA,3.1740007196665,NA,NA
"Sthenelais.boa",NA,NA,NA,NA,NA,NA,NA,NA
"Sthenelais.limicola",NA,NA,NA,NA,NA,NA,NA,NA
"Streblosoma.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Streblospio.benedicti",NA,NA,NA,NA,NA,NA,NA,NA
"Streblospio.shrubsolii",3.0585,2.1756230927,0.378,0.5175,NA,0.158536585365854,NA,299.5
"Streptosyllis.websteri",NA,NA,NA,NA,NA,NA,NA,NA
"Syllidia.armata",NA,NA,NA,NA,NA,NA,NA,NA
"Syllis.gracilis",NA,NA,NA,NA,NA,NA,NA,NA
"Syllis.parapari",NA,NA,NA,NA,NA,NA,NA,NA
"Syllis.rosea",NA,NA,NA,NA,NA,NA,NA,NA
"Syllis.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Synchelidium.haplocheles",NA,NA,NA,NA,NA,NA,NA,NA
"Tanystylum.conirostre",NA,NA,NA,NA,NA,NA,NA,NA
"Tapes.sp.",NA,2.98754880715,NA,NA,NA,NA,NA,NA
"Tellimya.ferruginosa",NA,NA,NA,NA,NA,NA,NA,NA
"Tellina.serrata",NA,NA,NA,NA,NA,NA,NA,NA
"Terebellidae",NA,NA,NA,NA,NA,NA,NA,NA
"Terebellides.stroemii",NA,NA,NA,NA,NA,NA,NA,NA
"Terebellinae",NA,NA,NA,NA,NA,NA,NA,NA
"Teredo.navalis",NA,NA,NA,NA,NA,NA,NA,NA
"Tharyx.killariensis",NA,NA,NA,NA,NA,NA,NA,NA
"Theora.lubrica",NA,NA,2.4785,2.7095,3.18543867961473,2.1303225598373,4.33,-64
"Thracia.phaseolina",NA,NA,NA,NA,NA,NA,NA,NA
"Thyasira.flexuosa",NA,NA,2.2215,1.9745,1.93480594673092,3.1740007196665,NA,31.5
"Trematoda",NA,NA,NA,NA,NA,NA,NA,NA
"Tritia.incrassata",NA,NA,NA,NA,NA,NA,NA,NA
"Tritia.neritea",NA,NA,NA,NA,NA,NA,NA,NA
