"","AMBI","microgAMBI","PI","PI5yAvg","piMetals","piHC","piOM","Redox","AMBIGroup"
"Brania.sp.",0,0,0,0,0,0,0,0,NA
"Brissopsis.lyrifera",0,0,0,0,0,0,0,0,NA
"Capitella.capitata",5,4,4,4,4,4,5,4,NA
"Capitella.minima",0,0,0,0,0,0,0,0,NA
"Carcinus.maenas",0,0,0,0,0,0,0,0,NA
"Caulleriella.alata",0,0,0,0,0,0,0,0,NA
"Caulleriella.sp.",0,0,0,0,0,0,0,0,NA
"Cavernularia.pusilla",0,0,0,0,0,0,0,0,NA
"Centraloecetes.kroyeranus",0,0,0,0,0,0,0,0,NA
"Cerastoderma.edule",0,0,0,1,0,0,0,0,NA
"Cerastoderma.glaucum",0,0,0,0,0,0,0,0,NA
"Cerastoderma.sp.",0,0,0,0,0,0,0,0,NA
"Cerebratulus.marginatus",0,0,0,0,0,0,0,0,NA
"Cerebratulus.sp.",0,0,0,0,0,0,0,0,NA
"Cerianthus.sp.",0,0,4,4,0,4,0,0,NA
"Chaetozone.gibber",0,0,4,4,4,4,5,4,NA
"Chaetozone.setosa",0,0,0,0,0,0,0,0,NA
"Chamelea.striatula",0,0,0,0,0,0,0,0,NA
"Cirripedia",0,0,0,0,0,0,0,0,NA
"Cirrophorus.furcatus",0,0,0,0,0,0,0,0,NA
"Cirrophorus.nikebianchii",0,0,0,0,0,0,0,0,NA
"Collembola",0,0,0,0,0,0,0,0,NA
"Copepoda",0,0,0,0,0,0,0,0,NA
"Corbula.gibba",0,0,4,4,4,4,5,4,NA
"Corophium.multisetosum",0,0,1,2,0,1,0,0,NA
"Corophium.sp.",0,0,0,0,0,0,0,0,NA
"Corophium.urdaibaiense",0,0,0,0,0,0,0,0,NA
"Corophium.volutator",0,0,0,0,0,0,0,0,NA
"Cossura.pygodactylata",0,0,0,0,0,0,0,0,NA
"Cossura.sp.",0,0,4,4,4,4,5,4,NA
"Crassostrea.gigas",0,0,0,0,0,0,0,0,NA
"Cumopsis.fagei",0,0,0,0,0,0,0,0,NA
"Cyathura.carinata",0,4,0,0,0,0,0,0,NA
"Cylichna.cylindracea",0,0,4,4,3,4,0,0,NA
"Decapoda",0,0,0,0,0,0,0,0,NA
"Desdemona.ornata",0,0,0,4,0,3,0,3,NA
"Diastylis.bradyi",0,0,0,0,0,0,0,0,NA
"Diastylis.laevis",0,0,0,0,0,0,0,0,NA
"Diogenes.pugilator",0,0,0,0,0,0,0,0,NA
"Diopatra.micrura",0,0,0,0,0,0,0,0,NA
"Diopatra.neapolitana",0,0,0,0,0,0,0,0,NA
"Diopatra.sp.",0,0,0,0,0,0,0,0,NA
"Diplocirrus.glaucus",0,0,0,0,0,0,0,0,NA
"Diptera",4,4,2,2,2,1,0,0,NA
"Dispio.uncinata",0,0,0,0,0,0,0,0,NA
"Donax.variegatus",0,0,0,0,0,0,0,0,NA
"Dosinia.lupinus",0,0,0,0,0,0,0,4,NA
"Ebalia.sp.",0,0,0,0,0,0,0,0,NA
"Echinocardium.cordatum",0,0,0,0,0,0,0,0,NA
"Echiura",0,0,0,0,0,0,0,0,NA
"Edwardsia.sp.",0,0,0,0,0,0,0,0,NA
"Edwardsiidae",0,0,0,0,0,0,0,0,NA
"Elminius.modestus",0,0,0,0,0,0,0,0,NA
"Euclymene.collaris",0,0,0,0,0,0,0,0,NA
"Euclymene.oerstedi",0,0,0,0,0,0,0,0,NA
"Euclymene.oerstedii",0,0,4,4,5,4,0,3,NA
"Euclymene.sp.",0,0,0,0,0,0,0,0,NA
"Euglesa.casertana",0,0,0,0,0,0,0,0,NA
"Eulimella.sp.",0,0,0,0,0,0,0,0,NA
"Eumida.bahusiensis",0,0,0,0,0,0,0,0,NA
"Eumida.sanguinea",0,0,0,0,0,0,0,0,NA
"Eumida.sp.",0,0,0,0,0,0,0,0,NA
"Eurydice.affinis",2,2,0,1,0,1,1,1,NA
"Eurydice.naylori",0,0,0,0,0,0,0,0,NA
"Eurydice.pulchra",0,0,0,0,0,0,0,0,NA
"Eurydice.sp.",0,0,0,0,0,0,0,0,NA
"Euspira.nitida",0,0,4,4,3,4,0,0,NA
"Exogone.dispar",0,0,0,0,0,0,0,0,NA
"Fabulina.fabula",0,0,0,0,0,0,0,0,NA
"Ficopomatus.enigmaticus",0,0,0,0,0,0,0,0,NA
"Galathowenia.oculata",0,0,0,0,0,0,0,0,NA
"Gallardoneris.iberica",0,0,0,0,0,0,0,0,NA
"Gammarus.chevreuxi",0,0,0,0,0,0,0,0,NA
"Gammarus.sp.",0,0,0,0,0,0,0,0,NA
"Gari.costulata",0,0,0,0,0,0,0,0,NA
"Gari.sp.",0,0,0,0,0,0,0,0,NA
"Gastropoda",0,0,0,0,0,0,0,0,NA
"Gastrosaccus.sanctus",0,0,0,0,0,0,0,0,NA
"Glycera.convoluta",0,0,0,0,0,0,0,0,NA
"Glycera.fallax",0,0,0,0,0,0,0,0,NA
"Glycera.sp.",0,0,0,0,0,0,0,0,NA
"Glycera.tridactyla",0,0,0,0,0,0,0,0,NA
"Glycera.unicornis",0,0,4,4,4,5,4,4,NA
"Golfingia.sp.",0,0,0,0,0,0,0,0,NA
"Goniada.maculata",0,0,0,0,0,0,0,0,NA
"Goniadella.gracilis",0,0,0,0,0,0,0,0,NA
"Goodallia.triangularis",0,0,0,0,0,0,0,0,NA
"Gouldia.minima",0,0,0,0,0,0,0,0,NA
"Grandidierella.japonica",0,0,5,4,5,5,0,4,NA
"HALACARIDAE",0,0,0,0,0,0,0,0,NA
"Harpinia.pectinata",0,0,0,0,0,0,0,0,NA
"Haustorius.arenarius",0,0,0,0,0,0,0,0,NA
"Hediste.diversicolor",4,4,0,0,0,0,0,0,NA
"Hemigrapsus.takanoi",0,0,0,0,0,0,0,0,NA
"Hesionidae",0,0,0,0,0,0,0,0,NA
"Heteromastus.filiformis",0,0,0,0,0,4,5,3,NA
"Heterotanais.oerstedi",0,0,0,0,0,0,0,0,NA
"Hippomedon.denticulatus",0,0,0,0,0,0,0,0,NA
"Hyala.vitrea",0,0,4,4,0,0,5,0,NA
"Idotea.chelipes",0,0,0,0,0,0,0,0,NA
"Insecta",0,0,0,0,0,0,0,0,NA
"Iphinoe.tenella",0,0,4,4,5,4,0,4,NA
"Kirkegaardia.sp.",0,0,0,0,0,0,0,0,NA
"Kurtiella.bidentata",0,0,5,4,5,5,0,4,NA
"Lagis.koreni",0,0,4,0,0,4,0,0,NA
"Laonice.cirrata",0,0,5,0,0,4,0,0,NA
"Lekanesphaera.hookeri",0,0,0,0,0,0,0,0,NA
"Lekanesphaera.rugicauda",0,0,0,0,0,0,0,0,NA
"Lekanesphaera.sp.",0,0,0,0,0,0,0,0,NA
"Lepidochitona.cinerea",0,0,0,0,0,0,0,0,NA
"Leptocheirus.pilosus",0,0,0,0,0,0,0,0,NA
"Leptognathiidae",0,0,0,0,0,0,0,0,NA
"Leptopentacta.elongata",0,0,0,0,0,0,0,0,NA
"Leptosynapta.galliennii",0,0,0,4,0,0,0,0,NA
"Leptosynapta.inhaerens",0,0,0,0,0,0,0,0,NA
"Levinsenia.gracilis",0,0,0,0,0,0,0,0,NA
"Lithophaga.lithophaga",0,0,0,0,0,0,0,0,NA
"Loripes.lucinalis",0,0,0,0,0,0,0,0,NA
"Loripes.orbiculatus",0,0,4,4,0,4,0,4,NA
"Lucinella.divaricata",0,0,0,0,0,0,0,0,NA
"Lucinidae",0,0,0,0,0,0,0,0,NA
"Lumbrineris.lusitanica",0,0,0,0,0,0,0,0,NA
"Macomangulus.tenuis",0,0,0,0,0,0,0,0,NA
"Macropodia.linaresi",0,0,0,0,0,0,0,0,NA
"Mactra.stultorum",0,0,0,0,0,0,0,0,NA
"Magelona.alleni",0,0,0,0,0,4,0,4,NA
"Magelona.filiformis",0,0,0,0,0,0,0,0,NA
"Magelona.johnstoni",0,0,0,0,0,0,0,0,NA
"Magelona.sp.",0,0,0,0,0,0,0,0,NA
"Malacoceros.fuliginosus",5,0,4,4,4,4,5,0,NA
"Malacoceros.girardi",0,0,0,0,0,0,0,0,NA
"Malacoceros.sp.",2,0,0,0,0,0,0,0,NA
"Maldane.glebifex",0,0,0,0,0,0,0,0,NA
"Maldanidae",0,0,0,0,0,0,0,0,NA
"Malmgrenia.andreapolis",0,0,0,0,0,0,0,0,NA
"Malmgrenia.sp.",0,0,0,0,0,0,0,0,NA
"Manayunkia.aestuarina",0,0,0,0,0,0,0,0,NA
"Mangelia.sp.",0,0,0,0,0,0,0,0,NA
"Manzonia.crassa",0,0,0,0,0,0,0,0,NA
"Mediomastus.fragilis",0,0,4,4,5,4,0,4,NA
"Melarhaphe.neritoides",0,0,0,0,0,0,0,0,NA
"Melinna.palmata",0,0,4,0,0,0,0,0,NA
"Melita.hergensis",0,0,0,0,0,0,0,0,NA
"Melita.palmata",0,0,0,0,0,0,0,0,NA
"Melita.sp.",0,0,0,0,0,0,0,0,NA
"Microphthalmus.pseudoaberrans",0,0,0,0,0,0,0,0,NA
"Microphthalmus.sp.",0,0,0,0,0,0,0,0,NA
"Microspio.atlantica",0,0,0,0,0,0,0,0,NA
"Moerella.donacina",0,0,0,0,0,0,0,0,NA
"Monia.patelliformis",0,0,0,0,0,0,0,0,NA
"Monocorophium.acherusicum",0,0,5,4,0,0,0,0,NA
"Monocorophium.insidiosum",0,0,0,0,0,0,0,0,NA
"Monocorophium.sp.",0,0,0,0,0,0,0,0,NA
"Montacuta.substriata",0,0,0,0,0,0,0,0,NA
"Myosotella.myosotis",0,0,0,0,0,0,0,0,NA
"Mysta.picta",0,0,0,0,0,0,0,0,NA
"Mytilaster.minimus",0,0,0,0,0,0,0,0,NA
"Mytilidae",0,0,0,0,0,0,0,0,NA
"Mytilus.galloprovincialis",0,0,0,0,0,0,0,0,NA
"Neanthes.caudata",5,0,4,4,4,4,5,0,NA
"Nematoda",4,0,0,0,0,0,5,0,NA
"NEMERTEA",0,0,4,4,5,4,4,4,NA
"Nephtys.assimilis",0,0,0,0,0,0,0,0,NA
"Nephtys.cirrosa",1,1,1,1,1,0,2,1,NA
"Nephtys.hombergii",0,0,0,0,0,5,0,4,NA
"Nephtys.hystricis",0,0,0,0,0,0,0,0,NA
"Nephtys.incisa",0,0,0,0,0,0,0,0,NA
"Nephtys.kersivalensis",0,0,0,0,0,0,0,0,NA
"Nereis.lamellosa",0,0,0,0,0,0,0,0,NA
"Nereis.sp.",0,0,0,0,0,0,0,0,NA
"Notomastus.latericeus",0,0,5,4,5,5,0,4,NA
"Nototropis.falcatus",0,0,0,0,0,0,0,0,NA
"Nototropis.swammerdamei",0,0,0,0,0,0,0,0,NA
"Nucula.sulcata",0,0,4,4,5,4,0,0,NA
"Odostomia.sp.",0,0,0,0,0,0,0,0,NA
"Oligochaeta",5,4,0,3,0,0,4,3,NA
"Onuphis.eremita",0,0,0,0,0,0,0,0,NA
"Onuphis.sp.",0,0,0,0,0,0,0,0,NA
"Ophelia.bicornis",0,0,0,0,0,0,0,0,NA
"Ophelia.neglecta",0,0,0,0,0,0,0,0,NA
"Ophiodromus.flexuosus",0,0,5,4,5,5,5,4,NA
"Ophiura.ophiura",0,0,0,0,0,0,0,0,NA
"Ophryotrocha.sp.",0,0,4,4,4,4,5,3,NA
"Orbinia.sp.",0,0,0,0,0,0,0,0,NA
"OSTRACODA",0,0,0,0,0,0,0,0,NA
"Ostrea.edulis",0,0,0,0,0,0,0,0,NA
"Oudardia.compressa",0,0,0,0,0,0,0,0,NA
"Owenia.fusiformis",0,0,0,0,0,0,0,0,NA
"Palaemon.serratus",0,0,0,0,0,0,0,0,NA
"Pandora.inaequivalvis",0,0,0,0,0,0,0,0,NA
"Papillicardium.papillosum",0,0,0,0,0,0,0,0,NA
"Paradoneis.armata",0,2,0,0,4,4,0,0,NA
"Paradoneis.ilvana",0,0,0,0,0,0,0,0,NA
"Paradoneis.lyra",0,0,0,0,0,0,0,0,NA
"Paragnathia.formica",0,0,1,1,0,0,0,1,NA
"Paramphitrite.tetrabranchia",0,0,0,0,0,0,0,0,NA
"Paraonis.fulgens",0,0,0,0,0,0,0,0,NA
"Parapionosyllis.elegans",0,0,0,0,0,0,0,0,NA
"Parapionosyllis.minuta",0,0,0,0,0,0,0,0,NA
"Pariambus.typicus",0,0,0,0,0,0,0,0,NA
"Parvicardium.ovale",0,0,0,0,0,0,0,0,NA
"Parvicardium.scabrum",0,0,0,0,0,0,0,0,NA
"Parvicardium.sp.",0,0,0,0,0,0,0,0,NA
"Pectinaria.auricoma",0,0,0,0,0,0,0,0,NA
"Peringia.ulvae",0,0,0,3,0,0,0,0,NA
"Perioculodes.longimanus",0,0,0,0,0,0,0,0,NA
"Petricolaria.pholadiformis",0,0,0,0,0,0,0,0,NA
"Phascolion.strombus",0,0,0,0,0,0,0,0,NA
"Philine.sp.",0,0,0,0,0,0,0,0,NA
"Phoronis.sp.",0,0,0,0,0,0,0,0,NA
"Phtisica.marina",0,0,0,0,0,0,0,0,NA
"Phyllodoce.groenlandica",0,0,0,0,0,0,0,0,NA
"Phyllodoce.laminosa",0,0,0,0,0,0,0,0,NA
"Phyllodoce.lineata",0,0,5,0,0,0,0,0,NA
"Phyllodoce.maculata",0,0,0,0,0,0,0,0,NA
"Phyllodoce.mucosa",0,0,0,0,0,0,0,0,NA
"Phyllodoce.sp.",0,0,0,0,0,0,0,0,NA
"Phyllodocidae",0,0,4,0,4,4,0,0,NA
"Phylo.foetida",0,0,0,0,0,0,0,0,NA
"Pilargis.verrucosa",0,0,4,0,0,0,0,0,NA
"Pionosyllis.anophthalma",0,0,0,0,0,0,0,0,NA
"Pisidia.sp.",0,0,0,0,0,0,0,0,NA
"Platyhelminthes",0,0,0,0,0,0,0,0,NA
"Podarkeopsis.capensis",0,0,5,4,0,4,0,0,NA
"Podarkeopsis.sp.",0,0,4,0,0,0,0,0,NA
"Podocoryna.carnea",0,0,0,0,0,0,0,0,NA
"Poecilochaetus.serpens",0,0,0,0,0,0,0,0,NA
"Polititapes.rhomboides",0,0,0,0,0,0,0,0,NA
"Polycirrus.sp.",0,0,5,4,5,5,0,4,NA
"Polydora.ciliata",0,0,0,0,5,0,0,4,NA
"Polydora.cornuta",0,4,5,4,4,5,5,4,NA
"Polydora.flava",0,0,0,0,0,0,0,0,NA
"Polydora.sp.",0,0,5,0,5,5,0,0,NA
"Polynoidae",0,0,0,0,0,0,0,0,NA
"Potamopyrgus.antipodarum",0,0,0,0,0,0,0,0,NA
"Prionospio.fallax",0,0,4,4,4,4,0,4,NA
"Prionospio.multibranchiata",0,0,0,0,0,0,0,0,NA
"Prionospio.pulchra",0,0,0,0,0,0,0,0,NA
"Prionospio.sp.",0,0,0,0,0,0,0,0,NA
"Prosphaerosyllis.sp.",0,0,0,0,0,0,0,0,NA
"Prosphaerosyllis.tetralix",0,0,0,0,0,0,0,0,NA
"Protodorvillea.kefersteini",0,0,0,0,0,0,0,0,NA
"Pseudomystides.limbata",0,0,0,0,0,0,0,0,NA
"Pseudopolydora.paucibranchiata",0,0,5,4,5,5,0,4,NA
"Pseudopolydora.pulchra",0,0,0,0,0,0,0,0,NA
"Pseudopythina.macandrewi",0,0,0,0,0,0,0,0,NA
"Pygospio.elegans",0,0,2,0,1,1,0,0,NA
"Retusa.sp.",0,0,0,0,0,0,0,0,NA
"Ringicula.auriculata",0,0,0,0,0,0,0,0,NA
"Ringicula.conformis",0,0,0,0,0,0,0,0,NA
"Ringicula.sp.",0,0,0,0,0,0,0,0,NA
"Ruditapes.decussatus",0,2,0,0,0,0,1,0,NA
"Ruditapes.philippinarum",0,0,0,0,0,0,0,0,NA
"Ruditapes.sp.",0,0,0,0,0,0,0,0,NA
"Sabellaria.spinulosa",0,0,0,0,0,0,0,0,NA
"Scalibregma.inflatum",0,0,0,0,0,0,0,0,NA
"Schistomeringos.caeca",0,0,0,0,0,0,0,0,NA
"Schistomeringos.rudolphi",0,0,0,0,0,0,0,0,NA
"Schistomeringos.rudolphii",0,0,0,0,0,0,0,0,NA
"Schistomeringos.sp.",0,0,0,0,0,0,0,0,NA
"Schistomysis.kervillei",0,0,0,0,0,0,0,0,NA
"Scolelepis.bonnieri",0,0,0,0,0,0,0,0,NA
"Scolelepis.sp.",0,0,0,0,0,0,0,0,NA
"Scolelepis.squamata",2,1,0,1,0,0,1,1,NA
"Scoloplos.sp.",0,0,0,0,0,0,0,0,NA
"Scoloplos.typicus",0,0,0,0,0,0,0,0,NA
"Scrobicularia.plana",0,4,0,0,0,0,0,3,NA
"Semelidae",0,0,0,0,0,0,0,0,NA
"Serratina.serrata",0,0,0,0,0,0,0,0,NA
"Sigalion.mathildae",0,0,0,0,0,0,0,0,NA
"Solen.marginatus",0,0,5,4,5,0,0,4,NA
"Solenidae",0,0,0,0,0,0,0,0,NA
"Sphaerosyllis.sp.",0,0,0,0,0,0,0,0,NA
"Spio.decoratus",0,0,0,0,0,0,0,0,NA
"Spio.martinensis",0,0,0,0,0,0,0,0,NA
"Spio.sp.",0,0,0,0,0,0,0,0,NA
"Spiochaetopterus.costarum",0,0,4,4,4,4,0,4,NA
"Spionidae",0,0,0,0,0,0,0,0,NA
"Spiophanes.bombyx",0,0,0,0,0,0,0,0,NA
"Spiophanes.kroyeri",0,0,0,0,0,0,0,0,NA
"Spisula.elliptica",0,0,0,0,0,0,0,0,NA
"Spisula.sp.",0,0,0,0,0,0,0,0,NA
"Spisula.subtruncata",0,0,0,0,0,0,0,0,NA
"Sternaspis.scutata",0,0,4,4,0,4,0,0,NA
"Sthenelais.boa",0,0,0,0,0,0,0,0,NA
"Sthenelais.limicola",0,0,0,0,0,0,0,0,NA
"Streblosoma.sp.",0,0,0,0,0,0,0,0,NA
"Streblospio.benedicti",0,0,0,0,0,0,0,0,NA
"Streblospio.shrubsolii",4,4,3,3,0,0,0,3,NA
"Streptosyllis.websteri",0,0,0,0,0,0,0,0,NA
"Syllidia.armata",0,0,0,0,0,0,0,0,NA
"Syllis.gracilis",0,0,0,0,0,0,0,0,NA
"Syllis.parapari",0,0,0,0,0,0,0,0,NA
"Syllis.rosea",0,0,0,0,0,0,0,0,NA
"Syllis.sp.",0,0,0,0,0,0,0,0,NA
"Synchelidium.haplocheles",0,0,0,0,0,0,0,0,NA
"Tanystylum.conirostre",0,0,0,0,0,0,0,0,NA
"Tapes.sp.",0,2,0,0,0,0,0,0,NA
"Tellimya.ferruginosa",0,0,0,0,0,0,0,0,NA
"Tellina.serrata",0,0,0,0,0,0,0,0,NA
"Terebellidae",0,0,0,0,0,0,0,0,NA
"Terebellides.stroemii",0,0,0,0,0,0,0,0,NA
"Terebellinae",0,0,0,0,0,0,0,0,NA
"Teredo.navalis",0,0,0,0,0,0,0,0,NA
"Tharyx.killariensis",0,0,0,0,0,0,0,0,NA
"Theora.lubrica",0,0,4,4,4,5,5,4,NA
"Thracia.phaseolina",0,0,0,0,0,0,0,0,NA
"Thyasira.flexuosa",0,0,4,4,4,4,0,4,NA
"Trematoda",0,0,0,0,0,0,0,0,NA
"Tritia.incrassata",0,0,0,0,0,0,0,0,NA
"Tritia.neritea",0,0,0,0,0,0,0,0,NA
"Tritia.nitida",0,0,5,4,5,5,0,0,NA
"Tritia.pygmaea",0,0,5,4,5,5,0,4,NA
"Tritia.reticulata",0,0,4,4,5,4,0,4,NA
"Tubulanus.polymorphus",0,0,5,4,5,5,4,4,NA
"Upogebia.deltaura",0,0,0,0,0,0,0,0,NA
"Upogebia.pusilla",0,0,0,0,0,0,0,0,NA
"Upogebia.sp.",0,0,0,0,0,0,0,0,NA
"Urothoe.brevicornis",0,0,0,0,0,0,0,0,NA
"Urothoe.grimaldii",0,0,0,0,0,0,0,0,NA
"Urothoe.pulchella",0,0,0,0,0,0,0,0,NA
"Urothoe.sp.",0,0,0,0,0,0,0,0,NA
"Venerida",0,0,0,0,0,0,0,0,NA
"Veneridae",0,0,0,0,0,0,0,0,NA
"Venus.casina",0,0,0,0,0,0,0,0,NA
"Virgularia.sp.",0,0,0,0,0,0,0,0,NA
"Vitreolina.philippi",0,0,0,0,0,0,0,0,NA
"Xenostrobus.securis",0,0,0,0,0,0,0,0,NA
